id,name,Id_input
2098585,Action confirmation 3,2098594
2098594,Action confirmation 4,2098594
2139477,iOS keyboard,2098594
2193809,Android keyboard,2098594
2288653,Action confirmation 1,2098594
2288629,Social invitation card,2288629
4824,Social invitation card,2288629
2288575,Message card,2288629
2288653,Action confirmation 1,2288629
319537,Action confirmation 1,2288629
4849,Kanban card,4849
2139535,Inline message 1,4849
2288629,Social invitation card,4849
2288631,Top bar 2,4849
319588,Notification card,4849
2723,Settings,2723
319588,Notification card,2723
4779,Vertical media card,2723
4848,Message card,2723
2139478,Media popup 2,2723
2098636,Floating banner,473769
2139479,Media popup 1,473769
2288653,Action confirmation 1,473769
473736,Page heading 2,473769
473769,Pagination 3,473769
2288631,Top bar 2,61330
2728,Simple menu sidebar,61330
2729,Multi-level menu sidebar,61330
61330,Icon menu sidebar,61330
61331,Collapsed menu sidebar,61330
2288631,Top bar 2,61330
2728,Simple menu sidebar,61330
2729,Multi-level menu sidebar,61330
61330,Icon menu sidebar,61330
61331,Collapsed menu sidebar,61330
2098642,Image gallery 1,2098693
2098693,Image gallery 2,2098693
2139477,iOS keyboard,2098693
2193809,Android keyboard,2098693
4817,Social card,2098693
473539,Calendar,473744
473744,Pagination 1,473744
473757,Pagination 2,473744
2139488,Tabs in pills,473744
2288669,Segment,473744
473736,Page heading 2,473736
2139479,Media popup 1,473736
2288629,Social invitation card,473736
2288653,Action confirmation 1,473736
319588,Notification card,473736
473539,Calendar,473757
473744,Pagination 1,473757
473757,Pagination 2,473757
2139488,Tabs in pills,473757
2288669,Segment,473757
2098810,Welcome modal 1,319415
2098818,Welcome modal 2,319415
2139477,iOS keyboard,319415
2139479,Media popup 1,319415
2193809,Android keyboard,319415
2722,Sign up 1,2098731
2098731,Sign up 2,2098731
2098714,Sign in 2,2098731
319395,Sign in 1,2098731
2139478,Media popup 2,2098731
2722,Sign up 1,2098731
2098714,Sign in 2,2098731
2098731,Sign up 2,2098731
319395,Sign in 1,2098731
2288601,Project sharing,2098731
2098806,Search box and button,2268033
2268033,Tab bar 2,2268033
473736,Page heading 2,2268033
473769,Pagination 3,2268033
4851,Dashboard card,2268033
2725,Edit profile,2725
2288653,Action confirmation 1,2725
473525,Action confirmation 2,2725
2098594,Action confirmation 4,2725
2288601,Project sharing,2725
2288653,Action confirmation 1,2288653
473525,Action confirmation 2,2288653
2098594,Action confirmation 4,2288653
2139535,Inline message 1,2288653
319537,Action confirmation 1,2288653
319449,Pricing card,473664
473664,Number input 1,473664
473671,Number input 2,473664
473678,Number input 3,473664
4851,Dashboard card,473664
2098594,Action confirmation 4,319640
2098714,Sign in 2,319640
2098731,Sign up 2,319640
2288653,Action confirmation 1,319640
2722,Sign up 1,319640
319449,Pricing card,319449
2098629,Empty state,319449
2139495,Bubble chat,319449
319537,Action confirmation 1,319449
319640,File upload,319449
2098636,Floating banner,473769
2139479,Media popup 1,473769
2288653,Action confirmation 1,473769
473736,Page heading 2,473769
473769,Pagination 3,473769
2098801,Sticky banner,2139511
2139511,Floating banner,2139511
2288684,Toast message,2139511
473671,Number input 2,2139511
473678,Number input 3,2139511
2288531,Horizontal media card,2288531
4788,Horizontal media card,2288531
2288641,Vertical media card,2288531
319415,Generic card (compact),2288531
473671,Number input 2,2288531
2098818,Welcome modal 2,319415
2139477,iOS keyboard,319415
2193809,Android keyboard,319415
2288575,Message card,319415
319415,Generic card (compact),319415
2098810,Welcome modal 1,319415
2098818,Welcome modal 2,319415
2098594,Action confirmation 4,319415
2139477,iOS keyboard,319415
2139479,Media popup 1,319415
2288629,Social invitation card,4824
473736,Page heading 2,4824
4824,Social invitation card,4824
2098636,Floating banner,4824
319588,Notification card,4824
2098810,Welcome modal 1,2098818
2098818,Welcome modal 2,2098818
2139478,Media popup 2,2098818
2098594,Action confirmation 4,2098818
2139479,Media popup 1,2098818
2098636,Floating banner,473769
2139479,Media popup 1,473769
319449,Pricing card,473769
473736,Page heading 2,473769
473769,Pagination 3,473769
2288531,Horizontal media card,2288531
4788,Horizontal media card,2288531
2288641,Vertical media card,2288531
319415,Generic card (compact),2288531
473671,Number input 2,2288531
473525,Action confirmation 2,319537
2098585,Action confirmation 3,319537
2098594,Action confirmation 4,319537
2098810,Welcome modal 1,319537
