,template_id,1,2,3,4,5
0,0,1,46,75,44,85
1,1,44,85,72,82,46
2,2,5,48,4,53,50
3,4,48,7,28,93,94
4,5,2,48,4,8,7
5,7,42,4,48,8,55
6,8,51,7,5,20,42
7,9,64,30,31,45,15
8,10,98,99,59,33,
9,15,30,31,45,9,64
10,17,24,,,,
11,19,,,,,
12,20,40,39,22,51,38
13,21,26,42,,,
14,22,40,39,20,48,53
15,23,103,36,34,,
16,24,17,,,,
17,26,67,21,42,7,8
18,27,52,54,73,34,103
19,28,93,94,4,,
20,29,69,102,,,
21,30,31,45,9,15,64
22,31,30,45,9,15,64
23,33,59,98,10,99,
24,34,36,103,27,52,23
25,36,34,103,27,23,73
26,38,41,39,40,20,
27,39,20,40,22,,
28,40,20,22,39,38,42
29,41,38,,,,
30,42,7,51,40,21,26
31,44,46,1,77,76,74
32,45,30,31,9,15,64
33,46,44,84,1,77,76
34,47,,,,,
35,48,50,53,4,7,5
36,50,53,48,56,57,62
37,51,8,20,42,,
38,52,54,73,27,34,103
39,53,50,48,56,57,62
40,54,73,52,27,103,
41,55,53,50,7,56,57
42,56,53,50,48,57,
43,57,50,53,56,48,62
44,59,33,98,10,99,
45,60,50,53,56,57,48
46,62,53,50,56,57,48
47,63,104,,,,
48,64,9,30,31,45,15
49,67,26,19,,,
50,69,102,29,,,
51,70,87,89,71,91,95
52,71,95,91,70,87,
53,72,85,77,76,82,1
54,73,54,52,27,103,
55,74,84,82,77,76,44
56,75,82,84,74,85,72
57,76,77,85,72,74,44
58,77,76,85,72,74,44
59,78,80,83,81,72,85
60,79,86,,,,
61,80,78,83,81,72,85
62,81,83,80,78,77,76
63,82,75,74,85,72,1
64,83,81,80,78,77,76
65,84,74,75,46,82,77
66,85,72,77,76,82,1
67,86,79,,,,
68,87,89,70,91,95,71
69,89,87,70,,,
70,91,95,71,70,87,89
71,93,28,94,4,,
72,94,28,93,4,,
73,95,71,91,70,87,
74,98,99,10,33,59,
75,99,98,10,59,33,
76,102,69,29,,,
77,103,36,34,27,23,54
78,104,63,,,,
