,template_id,1,2,3
0,0,,,
1,1,,,
2,2,230,176,284
3,4,170,171,
4,5,230,176,284
5,7,,,
6,8,,,
7,9,145,154,251
8,10,184,408,575
9,15,332,631,390
10,17,151,142,145
11,19,323,644,363
12,20,494,479,287
13,21,156,113,519
14,22,494,,
15,23,506,507,496
16,24,151,142,145
17,26,162,119,121
18,27,549,490,493
19,28,235,110,171
20,29,286,284,176
21,30,390,389,391
22,31,389,390,391
23,33,573,330,182
24,34,489,,
25,36,551,,
26,38,223,222,499
27,39,494,229,283
28,40,494,376,167
29,41,223,222,221
30,42,167,387,
31,44,,,
32,45,391,390,389
33,46,,,
34,47,260,486,482
35,48,,,
36,50,258,,
37,51,173,287,227
38,52,549,490,493
39,53,258,,
40,54,549,490,553
41,55,258,,
42,56,626,259,371
43,57,258,,
44,59,573,330,182
45,60,258,,
46,62,258,,
47,63,500,498,558
48,64,145,154,251
49,67,162,119,113
50,69,286,284,176
51,70,426,396,198
52,71,426,460,396
53,72,,,
54,73,549,490,553
55,74,,,
56,75,,,
57,76,,,
58,77,,,
59,78,,,
60,79,456,260,349
61,80,,,
62,81,,,
63,82,,,
64,83,,,
65,84,,,
66,85,,,
67,86,456,486,349
68,87,393,198,206
69,89,467,196,205
70,91,427,187,566
71,93,234,235,110
72,94,171,234,235
73,95,469,405,192
74,98,185,217,576
75,99,217,576,185
76,102,286,284,176
77,103,289,,
78,104,500,498,558
