,template_id,1,2,3,4,5,6,7,8
0,0,4,36,100,68,21,,,
1,1,87,91,37,58,61,,,
2,2,31,87,97,1,104,230.0,176.0,284.0
3,3,104,15,55,56,44,,,
4,4,0,43,100,21,55,170.0,171.0,
5,5,9,10,91,53,61,230.0,176.0,284.0
6,6,68,72,104,44,82,,,
7,7,62,78,77,41,98,,,
8,8,10,9,37,58,61,,,
9,9,8,5,10,61,91,145.0,154.0,251.0
10,10,8,9,61,5,88,184.0,408.0,575.0
11,11,14,23,69,104,38,,,
12,12,22,26,23,54,104,,,
13,13,104,15,56,55,51,,,
14,14,11,23,99,54,100,,,
15,15,104,55,56,44,59,332.0,631.0,390.0
16,16,53,45,20,9,28,,,
17,17,19,47,57,45,60,151.0,142.0,145.0
18,18,104,15,55,56,44,,,
19,19,57,45,17,47,8,323.0,644.0,363.0
20,20,45,16,8,58,53,494.0,479.0,287.0
21,21,0,43,50,48,32,156.0,113.0,519.0
22,22,12,23,104,92,56,494.0,,
23,23,22,12,14,54,11,506.0,507.0,496.0
24,24,104,93,32,38,30,151.0,142.0,145.0
25,25,104,93,32,38,30,,,
26,26,12,54,104,92,56,162.0,119.0,121.0
27,27,81,68,87,71,1,549.0,490.0,493.0
28,28,53,16,91,66,29,235.0,110.0,171.0
29,29,67,53,28,71,91,286.0,284.0,176.0
30,30,104,55,56,44,59,390.0,389.0,391.0
31,31,49,2,52,87,97,389.0,390.0,391.0
32,32,104,15,55,56,44,,,
33,33,34,81,48,15,32,573.0,330.0,182.0
34,34,50,33,76,79,104,489.0,,
35,35,36,0,68,56,38,,,
36,36,0,68,35,63,79,551.0,,
37,37,86,58,87,8,61,,,
38,38,104,15,55,56,44,223.0,222.0,499.0
39,39,69,10,86,61,37,494.0,229.0,283.0
40,40,104,15,55,56,44,494.0,376.0,167.0
41,41,78,7,77,62,83,223.0,222.0,221.0
42,42,104,56,38,18,15,167.0,387.0,
43,43,4,104,56,38,18,,,
44,44,104,15,55,56,59,,,
45,45,19,16,20,58,86,391.0,390.0,389.0
46,46,86,52,45,37,16,,,
47,47,66,57,58,60,17,260.0,486.0,482.0
48,48,33,68,79,72,34,,,
49,49,31,52,93,92,90,,,
50,50,94,79,81,34,76,258.0,,
51,51,15,55,56,44,59,173.0,287.0,227.0
52,52,49,86,46,31,45,549.0,490.0,493.0
53,53,16,91,28,74,5,258.0,,
54,54,104,15,44,40,38,549.0,490.0,553.0
55,55,104,15,44,59,40,258.0,,
56,56,104,15,55,44,59,626.0,259.0,371.0
57,57,19,47,17,60,45,258.0,,
58,58,37,87,8,91,86,,,
59,59,104,15,55,56,44,573.0,330.0,182.0
60,60,47,80,17,91,58,258.0,,
61,61,10,8,9,58,37,,,
62,62,7,78,77,41,98,258.0,,
63,63,36,72,79,0,81,500.0,498.0,558.0
64,64,83,84,79,81,72,145.0,154.0,251.0
65,65,104,15,55,56,44,,,
66,66,67,47,8,91,5,,,
67,67,66,29,47,91,28,162.0,119.0,113.0
68,68,81,72,79,6,36,,,
69,69,88,39,10,61,75,286.0,284.0,176.0
70,70,66,104,82,44,40,426.0,396.0,198.0
71,71,5,53,1,9,76,426.0,460.0,396.0
72,72,79,68,54,100,104,,,
73,73,5,104,15,51,40,549.0,490.0,553.0
74,74,91,53,9,20,5,,,
75,75,66,98,9,5,67,,,
76,76,104,30,38,40,51,,,
77,77,62,7,78,41,98,,,
78,78,62,7,77,41,98,,,
79,79,81,72,64,68,1,456.0,260.0,349.0
80,80,86,60,98,88,102,,,
81,81,79,68,72,50,64,,,
82,82,104,15,55,56,44,,,
83,83,84,41,95,64,16,,,
84,84,83,41,95,64,16,,,
85,85,88,89,19,8,104,,,
86,86,37,58,39,46,45,456.0,486.0,349.0
87,87,1,37,58,61,8,393.0,198.0,206.0
88,88,69,89,10,66,1,,,
89,89,88,66,85,47,1,467.0,196.0,205.0
90,90,104,15,55,56,44,,,
91,91,74,53,58,9,8,427.0,187.0,566.0
92,92,104,15,55,56,44,,,
93,93,104,15,55,56,44,234.0,235.0,110.0
94,94,50,100,104,15,38,171.0,234.0,235.0
95,95,83,84,41,64,16,469.0,405.0,192.0
96,96,104,15,55,56,44,,,
97,97,104,44,96,30,18,,,
98,98,102,66,75,7,78,185.0,217.0,576.0
99,99,103,58,91,47,57,217.0,576.0,185.0
100,100,104,56,38,18,40,,,
101,101,104,59,32,38,40,,,
102,102,98,5,9,104,40,286.0,284.0,176.0
103,103,99,1,58,104,40,289.0,,
104,104,15,55,56,44,59,500.0,498.0,558.0
