,template_id,1,2,3,4,5,6,7,8
0,0,21,35,4,63,84,,,
1,1,87,39,104,18,65,,,
2,2,104,30,82,80,40,230.0,176.0,284.0
3,3,104,30,82,80,40,,,
4,4,35,21,0,63,84,170.0,171.0,
5,5,10,9,85,61,89,230.0,176.0,284.0
6,6,104,30,82,80,40,,,
7,7,104,30,82,80,40,,,
8,8,10,60,66,9,88,,,
9,9,10,58,61,8,37,145.0,154.0,251.0
10,10,9,8,39,61,5,184.0,408.0,575.0
11,11,13,14,48,50,95,,,
12,12,13,93,95,14,34,,,
13,13,12,95,14,94,11,,,
14,14,13,94,11,12,87,,,
15,15,104,82,80,40,96,332.0,631.0,390.0
16,16,60,8,89,85,66,,,
17,17,86,58,20,66,60,151.0,142.0,145.0
18,18,104,30,82,80,40,,,
19,19,20,57,17,66,60,323.0,644.0,363.0
20,20,19,57,17,67,91,494.0,479.0,287.0
21,21,35,0,4,63,90,156.0,113.0,519.0
22,22,26,23,92,27,12,494.0,,
23,23,22,26,92,27,35,506.0,507.0,496.0
24,24,92,93,95,27,50,151.0,142.0,145.0
25,25,92,27,55,95,100,,,
26,26,22,23,64,81,55,162.0,119.0,121.0
27,27,92,25,95,26,40,549.0,490.0,493.0
28,28,8,29,85,91,88,235.0,110.0,171.0
29,29,28,10,39,9,8,286.0,284.0,176.0
30,30,104,82,80,40,96,390.0,389.0,391.0
31,31,33,16,97,79,102,389.0,390.0,391.0
32,32,90,84,62,103,36,,,
33,33,104,30,83,82,18,573.0,330.0,182.0
34,34,33,68,54,30,40,489.0,,
35,35,21,4,0,63,84,,,
36,36,43,62,90,84,63,551.0,,
37,37,66,88,89,17,58,,,
38,38,95,55,104,83,30,223.0,222.0,499.0
39,39,58,91,85,10,37,494.0,229.0,283.0
40,40,104,30,82,80,96,494.0,376.0,167.0
41,41,90,84,62,34,98,223.0,222.0,221.0
42,42,43,104,30,44,49,167.0,387.0,
43,43,42,36,15,40,49,,,
44,44,104,30,82,80,40,,,
45,45,86,85,39,88,20,391.0,390.0,389.0
46,46,88,20,39,66,37,,,
47,47,45,85,17,39,58,260.0,486.0,482.0
48,48,87,64,79,70,81,,,
49,49,104,30,82,80,40,,,
50,50,64,33,71,76,79,258.0,,
51,51,104,30,82,80,40,173.0,287.0,227.0
52,52,60,66,17,67,86,549.0,490.0,493.0
53,53,60,17,58,20,67,258.0,,
54,54,100,104,80,49,51,549.0,490.0,553.0
55,55,26,94,25,81,70,258.0,,
56,56,104,30,82,80,40,626.0,259.0,371.0
57,57,20,86,17,58,67,258.0,,
58,58,39,91,9,17,37,,,
59,59,104,30,82,80,40,573.0,330.0,182.0
60,60,66,52,8,17,16,258.0,,
61,61,9,10,8,57,39,,,
62,62,90,84,32,36,77,258.0,,
63,63,35,21,4,0,84,500.0,498.0,558.0
64,64,48,79,87,68,50,145.0,154.0,251.0
65,65,104,30,82,80,40,,,
66,66,60,37,8,17,88,,,
67,67,20,17,9,57,8,162.0,119.0,113.0
68,68,79,100,71,64,34,,,
69,69,75,61,39,9,10,286.0,284.0,176.0
70,70,81,79,72,100,104,426.0,396.0,198.0
71,71,79,76,72,81,68,426.0,460.0,396.0
72,72,100,79,83,44,49,,,
73,73,74,5,85,104,18,549.0,490.0,553.0
74,74,73,60,85,88,10,,,
75,75,9,86,5,73,61,,,
76,76,104,82,51,40,56,,,
77,77,90,84,62,101,32,,,
78,78,73,71,28,50,52,,,
79,79,72,71,76,68,81,456.0,260.0,349.0
80,80,104,30,82,40,96,,,
81,81,70,100,79,71,72,,,
82,82,104,30,80,40,96,,,
83,83,30,82,40,96,44,,,
84,84,62,90,32,36,4,,,
85,85,91,39,88,45,89,,,
86,86,17,57,45,85,91,456.0,486.0,349.0
87,87,1,58,48,37,39,393.0,198.0,206.0
88,88,37,8,85,39,45,,,
89,89,37,85,58,91,39,467.0,196.0,205.0
90,90,62,84,32,36,77,,,
91,91,39,58,85,20,37,427.0,187.0,566.0
92,92,27,24,25,23,22,,,
93,93,12,13,95,92,24,234.0,235.0,110.0
94,94,13,14,12,55,34,171.0,234.0,235.0
95,95,13,12,93,38,92,469.0,405.0,192.0
96,96,104,30,82,80,40,,,
97,97,101,104,30,56,65,,,
98,98,9,102,17,58,8,185.0,217.0,576.0
99,99,103,104,18,49,56,217.0,576.0,185.0
100,100,54,104,15,59,51,,,
101,101,97,104,80,82,83,,,
102,102,98,104,18,51,49,286.0,284.0,176.0
103,103,99,104,15,44,56,289.0,,
104,104,30,82,80,40,96,500.0,498.0,558.0
