,template_id,1,2,3,4,5,6,7,8
0,0,21,36,42,25,27,,,
1,1,91,58,104,51,38,,,
2,2,104,15,83,80,38,230.0,176.0,284.0
3,3,104,15,83,80,38,,,
4,4,36,35,43,11,50,170.0,171.0,
5,5,61,10,9,89,37,230.0,176.0,284.0
6,6,48,32,93,101,26,,,
7,7,104,15,83,80,38,,,
8,8,10,9,61,60,17,,,
9,9,10,8,61,5,88,145.0,154.0,251.0
10,10,61,9,8,5,89,184.0,408.0,575.0
11,11,92,95,26,33,4,,,
12,12,104,15,83,80,38,,,
13,13,93,54,1,34,38,,,
14,14,26,104,38,24,83,,,
15,15,104,83,80,38,24,332.0,631.0,390.0
16,16,104,62,56,65,51,,,
17,17,60,84,58,19,39,151.0,142.0,145.0
18,18,104,30,83,80,38,,,
19,19,84,60,17,86,39,323.0,644.0,363.0
20,20,1,17,88,89,37,494.0,479.0,287.0
21,21,55,0,25,27,43,156.0,113.0,519.0
22,22,32,36,46,81,34,494.0,,
23,23,48,92,27,50,33,506.0,507.0,496.0
24,24,104,30,83,80,38,151.0,142.0,145.0
25,25,94,21,27,0,68,,,
26,26,14,94,11,92,6,162.0,119.0,121.0
27,27,31,77,41,23,21,549.0,490.0,493.0
28,28,29,10,88,91,61,235.0,110.0,171.0
29,29,28,37,89,91,85,286.0,284.0,176.0
30,30,104,83,80,38,24,390.0,389.0,391.0
31,31,27,104,38,24,83,389.0,390.0,391.0
32,32,22,46,81,34,6,,,
33,33,104,80,38,49,51,573.0,330.0,182.0
34,34,93,48,32,81,30,489.0,,
35,35,4,50,43,54,104,,,
36,36,4,42,0,22,43,551.0,,
37,37,89,85,88,47,10,,,
38,38,104,30,83,80,24,223.0,222.0,499.0
39,39,88,91,89,37,58,494.0,229.0,283.0
40,40,104,30,83,80,24,494.0,376.0,167.0
41,41,84,77,60,17,19,223.0,222.0,221.0
42,42,43,36,30,38,24,167.0,387.0,
43,43,42,4,55,21,36,,,
44,44,104,30,83,80,38,,,
45,45,47,85,10,88,61,391.0,390.0,389.0
46,46,91,58,88,89,37,,,
47,47,45,89,37,88,85,260.0,486.0,482.0
48,48,23,6,92,34,27,,,
49,49,104,30,83,80,38,,,
50,50,23,35,4,79,43,258.0,,
51,51,104,30,83,80,38,173.0,287.0,227.0
52,52,88,102,53,89,39,549.0,490.0,493.0
53,53,60,17,8,101,28,258.0,,
54,54,104,15,40,44,30,549.0,490.0,553.0
55,55,21,43,42,40,24,258.0,,
56,56,104,15,83,80,38,626.0,259.0,371.0
57,57,67,86,66,58,85,258.0,,
58,58,91,39,46,61,17,,,
59,59,104,15,83,80,38,573.0,330.0,182.0
60,60,17,84,58,19,39,258.0,,
61,61,10,5,9,8,37,,,
62,62,104,15,83,80,38,258.0,,
63,63,98,75,6,87,0,500.0,498.0,558.0
64,64,68,79,87,54,6,145.0,154.0,251.0
65,65,104,15,83,80,38,,,
66,66,67,57,86,85,45,,,
67,67,57,86,66,85,45,162.0,119.0,113.0
68,68,78,79,64,70,21,,,
69,69,88,37,89,39,91,286.0,284.0,176.0
70,70,60,104,18,56,62,426.0,396.0,198.0
71,71,5,10,61,8,74,426.0,460.0,396.0
72,72,90,30,38,40,83,,,
73,73,5,37,46,58,89,549.0,490.0,553.0
74,74,88,5,69,73,61,,,
75,75,58,5,10,39,47,,,
76,76,104,15,51,56,40,,,
77,77,41,27,104,83,82,,,
78,78,68,104,40,24,82,,,
79,79,68,64,21,100,54,456.0,260.0,349.0
80,80,104,30,38,24,40,,,
81,81,32,34,54,22,100,,,
82,82,30,83,80,38,24,,,
83,83,104,30,38,24,40,,,
84,84,60,17,19,41,39,,,
85,85,37,89,45,10,86,,,
86,86,67,57,85,10,37,456.0,486.0,349.0
87,87,46,58,88,5,37,393.0,198.0,206.0
88,88,89,39,37,69,85,,,
89,89,37,88,85,10,39,467.0,196.0,205.0
90,90,104,30,83,80,38,,,
91,91,58,39,46,61,88,427.0,187.0,566.0
92,92,23,48,11,95,26,,,
93,93,34,13,6,104,51,234.0,235.0,110.0
94,94,25,26,34,104,90,171.0,234.0,235.0
95,95,11,92,43,42,38,469.0,405.0,192.0
96,96,104,30,83,80,38,,,
97,97,18,96,24,30,38,,,
98,98,102,5,8,75,49,185.0,217.0,576.0
99,99,103,74,75,104,83,217.0,576.0,185.0
100,100,104,80,40,44,49,,,
101,101,104,49,24,30,90,,,
102,102,98,104,18,56,44,286.0,284.0,176.0
103,103,99,104,62,82,24,289.0,,
104,104,30,83,80,38,24,500.0,498.0,558.0
