,template_id,1,2,3,4,5,6,7,8
0,0,35,21,96,62,36,,,
1,1,87,91,58,45,10,,,
2,2,52,65,36,38,40,230.0,176.0,284.0
3,3,52,65,36,38,40,,,
4,4,52,65,36,38,40,170.0,171.0,
5,5,47,88,58,87,74,230.0,176.0,284.0
6,6,52,65,36,38,40,,,
7,7,52,65,36,38,40,,,
8,8,17,45,98,9,61,,,
9,9,10,66,87,61,58,145.0,154.0,251.0
10,10,9,66,70,1,61,184.0,408.0,575.0
11,11,52,65,36,38,40,,,
12,12,52,65,36,38,40,,,
13,13,52,65,36,38,40,,,
14,14,52,65,36,38,40,,,
15,15,65,36,38,40,41,332.0,631.0,390.0
16,16,52,36,38,40,41,,,
17,17,8,98,45,55,64,151.0,142.0,145.0
18,18,52,64,36,38,40,,,
19,19,52,64,36,38,40,323.0,644.0,363.0
20,20,52,64,36,41,44,494.0,479.0,287.0
21,21,81,76,0,71,72,156.0,113.0,519.0
22,22,52,64,36,38,41,494.0,,
23,23,52,64,38,40,41,506.0,507.0,496.0
24,24,52,64,36,38,40,151.0,142.0,145.0
25,25,52,64,36,38,40,,,
26,26,52,64,36,38,40,162.0,119.0,121.0
27,27,64,36,38,40,41,549.0,490.0,493.0
28,28,9,87,97,8,61,235.0,110.0,171.0
29,29,103,61,52,64,38,286.0,284.0,176.0
30,30,32,36,38,40,41,390.0,389.0,391.0
31,31,52,36,38,40,41,389.0,390.0,391.0
32,32,31,36,38,40,41,,,
33,33,52,64,36,38,40,573.0,330.0,182.0
34,34,79,81,33,40,41,489.0,,
35,35,42,0,95,94,36,,,
36,36,52,31,38,40,41,551.0,,
37,37,85,39,69,58,87,,,
38,38,52,31,36,44,49,223.0,222.0,499.0
39,39,69,37,85,88,87,494.0,229.0,283.0
40,40,52,31,36,41,44,494.0,376.0,167.0
41,41,52,31,36,40,44,223.0,222.0,221.0
42,42,35,81,76,41,44,167.0,387.0,
43,43,33,64,36,38,40,,,
44,44,52,31,36,38,40,,,
45,45,8,58,87,73,47,391.0,390.0,389.0
46,46,67,66,75,40,41,,,
47,47,5,58,87,88,73,260.0,486.0,482.0
48,48,100,52,65,38,40,,,
49,49,52,31,36,38,40,,,
50,50,52,64,36,38,40,258.0,,
51,51,52,31,36,38,40,173.0,287.0,227.0
52,52,31,36,38,40,41,549.0,490.0,493.0
53,53,60,88,47,74,99,258.0,,
54,54,64,36,38,40,41,549.0,490.0,553.0
55,55,52,31,36,38,40,258.0,,
56,56,52,31,36,38,40,626.0,259.0,371.0
57,57,52,31,36,38,40,258.0,,
58,58,87,47,73,85,37,,,
59,59,52,31,36,38,40,573.0,330.0,182.0
60,60,88,47,74,99,5,258.0,,
61,61,9,87,58,8,66,,,
62,62,52,31,36,38,40,258.0,,
63,63,100,52,65,38,40,500.0,498.0,558.0
64,64,52,36,38,40,41,145.0,154.0,251.0
65,65,31,36,38,40,41,,,
66,66,9,67,10,58,61,,,
67,67,46,66,75,40,41,162.0,119.0,113.0
68,68,89,10,39,69,75,,,
69,69,39,37,85,88,87,286.0,284.0,176.0
70,70,10,9,1,66,33,426.0,396.0,198.0
71,71,1,9,10,52,64,426.0,460.0,396.0
72,72,81,52,38,40,41,,,
73,73,87,58,47,85,37,549.0,490.0,553.0
74,74,5,60,53,88,47,,,
75,75,67,46,89,66,44,,,
76,76,21,89,100,52,56,,,
77,77,52,64,36,38,40,,,
78,78,52,64,36,38,40,,,
79,79,34,81,33,40,41,456.0,260.0,349.0
80,80,52,64,36,38,40,,,
81,81,34,79,21,72,33,,,
82,82,52,64,36,38,40,,,
83,83,52,64,36,38,40,,,
84,84,52,64,36,38,40,,,
85,85,37,39,69,58,87,,,
86,86,52,64,36,38,40,456.0,486.0,349.0
87,87,58,47,73,85,37,393.0,198.0,206.0
88,88,47,69,39,5,60,,,
89,89,68,10,39,69,75,467.0,196.0,205.0
90,90,52,64,36,38,40,,,
91,91,37,85,39,69,1,427.0,187.0,566.0
92,92,52,64,36,38,40,,,
93,93,52,64,36,38,40,234.0,235.0,110.0
94,94,52,64,36,38,40,171.0,234.0,235.0
95,95,52,64,36,38,40,469.0,405.0,192.0
96,96,52,64,36,38,40,,,
97,97,28,101,52,51,62,,,
98,98,8,17,45,9,87,185.0,217.0,576.0
99,99,60,53,88,103,54,217.0,576.0,185.0
100,100,52,65,36,38,40,,,
101,101,28,52,65,38,40,,,
102,102,9,1,91,8,61,286.0,284.0,176.0
103,103,29,99,52,51,62,289.0,,
104,104,31,36,38,40,41,500.0,498.0,558.0
