,template_id,1,2,3,4,5,6,7,8
0,0,36,4,21,6,7,,,
1,1,87,10,37,61,58,,,
2,2,32,31,77,78,87,230.0,176.0,284.0
3,3,51,59,30,24,65,,,
4,4,0,21,6,36,77,170.0,171.0,
5,5,9,10,85,74,29,230.0,176.0,284.0
6,6,7,77,78,41,66,,,
7,7,6,77,78,41,66,,,
8,8,57,9,10,61,46,,,
9,9,10,5,8,61,29,145.0,154.0,251.0
10,10,61,9,8,1,86,184.0,408.0,575.0
11,11,92,95,26,27,32,,,
12,12,94,27,36,54,30,,,
13,13,22,72,81,79,71,,,
14,14,56,65,18,44,24,,,
15,15,51,59,24,65,40,332.0,631.0,390.0
16,16,17,57,19,20,86,,,
17,17,19,20,16,86,57,151.0,142.0,145.0
18,18,51,59,30,24,65,,,
19,19,17,20,16,86,45,323.0,644.0,363.0
20,20,17,19,16,86,57,494.0,479.0,287.0
21,21,36,35,4,41,7,156.0,113.0,519.0
22,22,23,13,38,26,79,494.0,,
23,23,26,22,38,11,72,506.0,507.0,496.0
24,24,51,59,30,65,40,151.0,142.0,145.0
25,25,50,48,54,24,18,,,
26,26,23,93,22,94,38,162.0,119.0,121.0
27,27,38,12,64,11,51,549.0,490.0,493.0
28,28,91,29,9,58,88,235.0,110.0,171.0
29,29,9,28,61,58,88,286.0,284.0,176.0
30,30,51,59,24,65,40,390.0,389.0,391.0
31,31,32,2,78,34,49,389.0,390.0,391.0
32,32,31,2,34,78,7,,,
33,33,34,24,65,18,40,573.0,330.0,182.0
34,34,33,32,87,48,30,489.0,,
35,35,63,21,6,7,77,,,
36,36,0,21,4,42,43,551.0,,
37,37,89,86,88,58,61,,,
38,38,23,27,22,35,4,223.0,222.0,499.0
39,39,47,88,85,89,46,494.0,229.0,283.0
40,40,51,59,30,24,65,494.0,376.0,167.0
41,41,6,7,80,77,90,223.0,222.0,221.0
42,42,36,30,18,15,62,167.0,387.0,
43,43,36,24,59,15,65,,,
44,44,59,30,24,65,40,,,
45,45,37,89,46,47,86,391.0,390.0,389.0
46,46,45,90,88,47,8,,,
47,47,39,88,37,45,9,260.0,486.0,482.0
48,48,34,33,87,1,25,,,
49,49,52,78,6,7,77,,,
50,50,32,34,93,25,24,258.0,,
51,51,59,30,24,65,40,173.0,287.0,227.0
52,52,49,8,20,10,17,549.0,490.0,493.0
53,53,17,45,19,16,86,258.0,,
54,54,51,59,30,65,40,549.0,490.0,553.0
55,55,68,42,76,72,30,258.0,,
56,56,51,59,30,24,65,626.0,259.0,371.0
57,57,16,82,8,17,60,258.0,,
58,58,37,87,47,1,61,,,
59,59,51,30,24,65,40,573.0,330.0,182.0
60,60,17,46,45,85,8,258.0,,
61,61,10,37,9,8,88,,,
62,62,51,59,30,24,65,258.0,,
63,63,35,4,21,78,76,500.0,498.0,558.0
64,64,81,27,96,24,40,145.0,154.0,251.0
65,65,51,59,30,24,40,,,
66,66,6,7,67,77,78,,,
67,67,66,17,86,10,39,162.0,119.0,113.0
68,68,81,79,62,96,30,,,
69,69,75,74,9,88,5,286.0,284.0,176.0
70,70,79,10,96,24,40,426.0,396.0,198.0
71,71,10,18,62,3,65,426.0,460.0,396.0
72,72,24,40,59,18,62,,,
73,73,75,74,5,3,96,549.0,490.0,553.0
74,74,5,9,69,73,75,,,
75,75,73,9,69,5,29,,,
76,76,62,15,30,24,18,,,
77,77,6,7,78,41,66,,,
78,78,6,7,77,41,66,,,
79,79,81,70,76,71,96,456.0,260.0,349.0
80,80,90,84,104,82,41,,,
81,81,79,68,70,6,7,,,
82,82,84,83,90,80,104,,,
83,83,84,90,104,82,41,,,
84,84,83,90,80,104,41,,,
85,85,39,37,89,86,10,,,
86,86,37,17,89,88,85,456.0,486.0,349.0
87,87,1,58,61,47,29,393.0,198.0,206.0
88,88,89,37,39,47,61,,,
89,89,37,88,45,86,39,467.0,196.0,205.0
90,90,84,80,104,83,82,,,
91,91,28,46,88,29,58,427.0,187.0,566.0
92,92,11,54,32,100,26,,,
93,93,26,50,87,34,98,234.0,235.0,110.0
94,94,12,26,50,87,34,171.0,234.0,235.0
95,95,11,76,65,96,40,469.0,405.0,192.0
96,96,59,30,24,65,40,,,
97,97,101,18,65,24,96,,,
98,98,102,56,44,40,24,185.0,217.0,576.0
99,99,103,83,84,30,18,217.0,576.0,185.0
100,100,56,62,30,59,40,,,
101,101,40,15,30,3,56,,,
102,102,98,51,56,59,30,286.0,284.0,176.0
103,103,99,24,62,15,51,289.0,,
104,104,90,80,84,83,82,500.0,498.0,558.0
