,template_id,1,2,3,4,5,6,7,8
0,0,42,71,48,78,77,,,
1,1,91,87,58,45,47,,,
2,2,52,31,17,49,63,230.0,176.0,284.0
3,3,104,14,90,84,40,,,
4,4,6,13,35,68,77,170.0,171.0,
5,5,10,9,73,71,70,230.0,176.0,284.0
6,6,35,4,13,7,68,,,
7,7,35,13,6,68,77,,,
8,8,10,9,75,97,103,,,
9,9,5,8,67,10,61,145.0,154.0,251.0
10,10,5,8,9,101,28,184.0,408.0,575.0
11,11,104,15,62,65,51,,,
12,12,104,14,90,84,40,,,
13,13,35,4,6,7,68,,,
14,14,104,90,84,40,44,,,
15,15,14,90,84,40,44,332.0,631.0,390.0
16,16,86,37,39,66,8,,,
17,17,52,31,2,49,63,151.0,142.0,145.0
18,18,104,14,90,84,40,,,
19,19,104,14,90,84,40,323.0,644.0,363.0
20,20,104,15,62,65,44,494.0,479.0,287.0
21,21,81,100,78,77,68,156.0,113.0,519.0
22,22,104,14,90,84,44,494.0,,
23,23,94,38,25,55,24,506.0,507.0,496.0
24,24,38,25,55,92,64,151.0,142.0,145.0
25,25,55,38,24,92,64,,,
26,26,72,13,35,4,6,162.0,119.0,121.0
27,27,93,104,15,44,51,549.0,490.0,493.0
28,28,29,5,10,8,101,235.0,110.0,171.0
29,29,28,5,47,70,97,286.0,284.0,176.0
30,30,104,14,90,84,40,390.0,389.0,391.0
31,31,17,2,49,52,63,389.0,390.0,391.0
32,32,74,73,2,17,49,,,
33,33,104,14,51,62,30,573.0,330.0,182.0
34,34,79,104,14,51,30,489.0,,
35,35,6,7,13,4,68,,,
36,36,63,2,17,49,52,551.0,,
37,37,86,16,39,66,8,,,
38,38,25,55,24,92,64,223.0,222.0,499.0
39,39,89,46,45,58,88,494.0,229.0,283.0
40,40,104,14,90,84,44,494.0,376.0,167.0
41,41,83,82,56,77,78,223.0,222.0,221.0
42,42,0,63,36,17,2,167.0,387.0,
43,43,63,36,49,2,17,,,
44,44,104,14,90,84,40,,,
45,45,58,46,89,39,88,391.0,390.0,389.0
46,46,89,39,45,58,88,,,
47,47,88,91,87,45,58,260.0,486.0,482.0
48,48,78,77,68,36,63,,,
49,49,52,31,17,2,63,,,
50,50,78,77,68,13,35,258.0,,
51,51,104,14,90,84,40,173.0,287.0,227.0
52,52,17,2,49,31,63,549.0,490.0,493.0
53,53,67,9,1,70,73,258.0,,
54,54,104,14,51,59,62,549.0,490.0,553.0
55,55,25,38,24,92,64,258.0,,
56,56,83,82,41,74,75,626.0,259.0,371.0
57,57,45,58,8,97,47,258.0,,
58,58,45,46,89,39,88,,,
59,59,104,14,90,84,40,573.0,330.0,182.0
60,60,10,102,70,18,62,258.0,,
61,61,88,91,47,87,98,,,
62,62,104,14,90,84,40,258.0,,
63,63,36,2,17,49,52,500.0,498.0,558.0
64,64,55,38,25,24,92,145.0,154.0,251.0
65,65,104,14,90,84,40,,,
66,66,16,86,37,9,53,,,
67,67,53,9,1,73,2,162.0,119.0,113.0
68,68,77,78,13,35,4,,,
69,69,104,15,62,51,65,286.0,284.0,176.0
70,70,5,73,10,104,15,426.0,396.0,198.0
71,71,73,5,0,97,9,426.0,460.0,396.0
72,72,81,104,84,59,62,,,
73,73,74,71,5,9,10,549.0,490.0,553.0
74,74,73,75,5,83,32,,,
75,75,8,73,83,9,56,,,
76,76,81,68,78,13,35,,,
77,77,78,68,48,13,35,,,
78,78,77,68,48,13,35,,,
79,79,94,34,23,72,18,456.0,260.0,349.0
80,80,104,14,90,84,40,,,
81,81,68,48,13,4,35,,,
82,82,83,56,41,101,13,,,
83,83,82,56,41,74,75,,,
84,84,104,14,90,40,44,,,
85,85,74,75,73,70,90,,,
86,86,37,16,39,66,8,456.0,486.0,349.0
87,87,88,47,39,46,58,393.0,198.0,206.0
88,88,87,91,47,39,46,,,
89,89,46,39,45,58,88,467.0,196.0,205.0
90,90,104,14,84,40,44,,,
91,91,88,47,39,46,61,427.0,187.0,566.0
92,92,55,38,25,24,64,,,
93,93,27,13,35,6,7,234.0,235.0,110.0
94,94,23,79,33,72,104,171.0,234.0,235.0
95,95,13,4,35,6,7,469.0,405.0,192.0
96,96,104,14,90,84,40,,,
97,97,8,71,29,57,40,,,
98,98,88,61,87,91,102,185.0,217.0,576.0
99,99,103,58,8,45,5,217.0,576.0,185.0
100,100,54,104,15,59,44,,,
101,101,10,28,104,96,22,,,
102,102,98,104,22,30,19,286.0,284.0,176.0
103,103,99,8,29,10,51,289.0,,
104,104,14,90,84,40,44,500.0,498.0,558.0
