,template_id,1,2,3,4,5,6,7,8
0,0,63,43,35,21,36,,,
1,1,87,47,29,74,59,,,
2,2,104,90,51,40,56,230.0,176.0,284.0
3,3,104,90,51,40,56,,,
4,4,0,42,36,90,84,170.0,171.0,
5,5,10,47,9,69,102,230.0,176.0,284.0
6,6,104,90,51,40,56,,,
7,7,104,90,51,40,56,,,
8,8,29,74,71,1,97,,,
9,9,89,39,37,5,91,145.0,154.0,251.0
10,10,29,5,61,69,9,184.0,408.0,575.0
11,11,12,38,13,94,14,,,
12,12,38,11,13,14,94,,,
13,13,24,92,12,38,11,,,
14,14,38,94,23,95,26,,,
15,15,104,90,51,40,56,332.0,631.0,390.0
16,16,20,74,97,104,78,,,
17,17,46,45,60,5,29,151.0,142.0,145.0
18,18,104,90,51,40,56,,,
19,19,57,47,60,102,1,323.0,644.0,363.0
20,20,32,53,89,16,74,494.0,479.0,287.0
21,21,63,35,77,0,36,156.0,113.0,519.0
22,22,38,94,14,25,23,494.0,,
23,23,38,14,94,50,48,506.0,507.0,496.0
24,24,92,26,38,13,94,151.0,142.0,145.0
25,25,38,94,27,14,23,,,
26,26,24,38,14,94,23,162.0,119.0,121.0
27,27,38,25,12,14,94,549.0,490.0,493.0
28,28,91,88,39,75,104,235.0,110.0,171.0
29,29,10,91,74,61,1,286.0,284.0,176.0
30,30,104,90,51,40,56,390.0,389.0,391.0
31,31,68,14,23,32,94,389.0,390.0,391.0
32,32,89,20,53,31,81,,,
33,33,68,94,34,27,56,573.0,330.0,182.0
34,34,33,93,83,84,90,489.0,,
35,35,63,21,77,0,36,,,
36,36,63,77,0,35,21,551.0,,
37,37,46,89,39,47,69,,,
38,38,94,14,25,23,22,223.0,222.0,499.0
39,39,58,88,69,91,89,494.0,229.0,283.0
40,40,104,90,51,56,59,494.0,376.0,167.0
41,41,77,36,63,0,35,223.0,222.0,221.0
42,42,35,4,0,36,43,167.0,387.0,
43,43,0,30,44,49,51,,,
44,44,90,51,40,56,59,,,
45,45,46,39,69,91,89,391.0,390.0,389.0
46,46,45,60,37,87,88,,,
47,47,19,37,5,1,46,260.0,486.0,482.0
48,48,23,64,38,87,94,,,
49,49,104,90,51,40,56,,,
50,50,23,64,38,87,94,258.0,,
51,51,104,90,40,56,59,173.0,287.0,227.0
52,52,85,88,37,102,5,549.0,490.0,493.0
53,53,20,32,89,47,91,258.0,,
54,54,104,83,51,44,56,549.0,490.0,553.0
55,55,38,25,94,27,14,258.0,,
56,56,104,90,51,40,59,626.0,259.0,371.0
57,57,19,60,47,88,87,258.0,,
58,58,39,91,87,86,88,,,
59,59,104,90,51,40,56,573.0,330.0,182.0
60,60,46,19,86,97,45,258.0,,
61,61,69,46,87,10,29,,,
62,62,104,90,51,40,59,258.0,,
63,63,77,36,35,21,0,500.0,498.0,558.0
64,64,50,23,48,68,63,145.0,154.0,251.0
65,65,104,90,51,40,56,,,
66,66,99,45,28,47,73,,,
67,67,93,61,10,29,103,162.0,119.0,113.0
68,68,31,33,64,27,71,,,
69,69,39,61,91,89,37,286.0,284.0,176.0
70,70,104,15,44,49,51,426.0,396.0,198.0
71,71,76,104,18,62,56,426.0,460.0,396.0
72,72,104,18,51,49,62,,,
73,73,69,39,104,59,90,549.0,490.0,553.0
74,74,29,91,1,58,87,,,
75,75,9,47,10,86,37,,,
76,76,104,15,40,49,51,,,
77,77,41,63,36,35,21,,,
78,78,104,90,51,40,56,,,
79,79,81,48,64,72,70,456.0,260.0,349.0
80,80,90,51,40,56,59,,,
81,81,79,32,72,54,84,,,
82,82,104,90,51,40,56,,,
83,83,104,90,51,40,56,,,
84,84,104,90,51,40,56,,,
85,85,52,88,89,39,37,,,
86,86,58,39,60,75,88,456.0,486.0,349.0
87,87,58,1,46,88,39,393.0,198.0,206.0
88,88,39,46,87,58,85,,,
89,89,32,39,37,20,69,467.0,196.0,205.0
90,90,104,51,40,56,59,,,
91,91,58,39,69,29,74,427.0,187.0,566.0
92,92,24,38,13,94,14,,,
93,93,38,13,14,23,67,234.0,235.0,110.0
94,94,38,14,23,25,26,171.0,234.0,235.0
95,95,14,38,13,93,12,469.0,405.0,192.0
96,96,104,90,51,40,56,,,
97,97,46,60,104,84,82,,,
98,98,102,58,104,40,44,185.0,217.0,576.0
99,99,66,103,75,83,82,217.0,576.0,185.0
100,100,104,90,78,82,83,,,
101,101,18,96,80,56,30,,,
102,102,104,30,44,49,51,286.0,284.0,176.0
103,103,99,29,65,83,82,289.0,,
104,104,90,51,40,56,59,500.0,498.0,558.0
