,template_id,1,2,3,4,5,6,7,8
0,0,53,77,76,74,73,,,
1,1,78,76,75,74,73,,,
2,2,0,66,77,76,75,230.0,176.0,284.0
3,3,0,66,77,76,75,,,
4,4,0,66,77,76,75,170.0,171.0,
5,5,0,66,77,76,75,230.0,176.0,284.0
6,6,0,66,77,76,75,,,
7,7,0,66,77,76,75,,,
8,8,0,66,77,76,75,,,
9,9,0,66,77,76,75,145.0,154.0,251.0
10,10,0,66,77,76,75,184.0,408.0,575.0
11,11,0,66,77,76,75,,,
12,12,0,66,77,76,75,,,
13,13,66,77,76,75,74,,,
14,14,0,77,76,75,74,,,
15,15,0,67,77,76,75,332.0,631.0,390.0
16,16,0,67,77,76,75,,,
17,17,0,67,77,76,75,151.0,142.0,145.0
18,18,0,67,77,76,75,,,
19,19,0,67,77,76,75,323.0,644.0,363.0
20,20,0,67,77,76,75,494.0,479.0,287.0
21,21,0,67,77,76,75,156.0,113.0,519.0
22,22,0,67,77,76,75,494.0,,
23,23,0,67,77,76,75,506.0,507.0,496.0
24,24,0,67,77,76,75,151.0,142.0,145.0
25,25,0,67,77,76,75,,,
26,26,79,77,76,75,74,162.0,119.0,121.0
27,27,0,77,76,75,74,549.0,490.0,493.0
28,28,78,77,76,75,74,235.0,110.0,171.0
29,29,0,78,76,75,74,286.0,284.0,176.0
30,30,0,78,76,75,74,390.0,389.0,391.0
31,31,0,78,76,75,74,389.0,390.0,391.0
32,32,0,78,76,75,74,,,
33,33,0,78,76,75,74,573.0,330.0,182.0
34,34,0,78,76,75,74,489.0,,
35,35,0,78,76,75,74,,,
36,36,0,78,76,75,74,551.0,,
37,37,0,78,76,75,74,,,
38,38,0,78,76,75,74,223.0,222.0,499.0
39,39,0,78,76,75,74,494.0,229.0,283.0
40,40,78,76,75,74,73,494.0,376.0,167.0
41,41,0,66,76,75,74,223.0,222.0,221.0
42,42,0,66,76,75,74,167.0,387.0,
43,43,0,66,76,75,74,,,
44,44,0,66,75,73,72,,,
45,45,0,66,76,75,74,391.0,390.0,389.0
46,46,0,66,75,74,73,,,
47,47,0,66,76,75,74,260.0,486.0,482.0
48,48,0,66,76,75,74,,,
49,49,0,66,76,75,74,,,
50,50,0,66,76,75,74,258.0,,
51,51,0,66,76,75,74,173.0,287.0,227.0
52,52,53,77,76,75,74,549.0,490.0,493.0
53,53,0,77,76,75,74,258.0,,
54,54,53,77,76,75,74,549.0,490.0,553.0
55,55,0,67,77,76,75,258.0,,
56,56,0,67,77,76,75,626.0,259.0,371.0
57,57,0,67,77,76,75,258.0,,
58,58,0,67,77,76,75,,,
59,59,0,67,77,76,75,573.0,330.0,182.0
60,60,0,67,77,76,75,258.0,,
61,61,0,67,77,76,75,,,
62,62,0,67,77,76,75,258.0,,
63,63,0,67,77,76,75,500.0,498.0,558.0
64,64,0,67,77,76,75,145.0,154.0,251.0
65,65,0,67,77,76,75,,,
66,66,53,77,76,75,74,,,
67,67,0,53,77,76,75,162.0,119.0,113.0
68,68,0,53,77,76,75,,,
69,69,0,53,77,76,75,286.0,284.0,176.0
70,70,0,53,77,76,75,426.0,396.0,198.0
71,71,0,53,77,76,75,426.0,460.0,396.0
72,72,0,53,75,74,73,,,
73,73,0,53,77,76,75,549.0,490.0,553.0
74,74,0,53,75,73,72,,,
75,75,0,53,77,76,73,,,
76,76,0,53,75,73,71,,,
77,77,0,53,75,73,71,,,
78,78,53,77,76,75,74,,,
79,79,53,77,76,75,74,456.0,260.0,349.0
80,80,77,76,75,74,73,,,
81,81,0,75,74,73,72,,,
82,82,0,78,76,73,71,,,
83,83,0,75,74,73,72,,,
84,84,0,78,76,73,72,,,
85,85,0,78,75,74,73,,,
86,86,0,78,76,75,74,456.0,486.0,349.0
87,87,0,78,76,75,74,393.0,198.0,206.0
88,88,0,78,76,75,74,,,
89,89,0,78,76,75,74,467.0,196.0,205.0
90,90,0,78,76,75,74,,,
91,91,0,78,76,75,74,427.0,187.0,566.0
92,92,78,76,75,74,73,,,
93,93,0,66,76,75,74,234.0,235.0,110.0
94,94,0,66,76,75,74,171.0,234.0,235.0
95,95,0,66,76,75,74,469.0,405.0,192.0
96,96,0,66,76,75,74,,,
97,97,0,66,76,75,74,,,
98,98,0,66,76,75,74,185.0,217.0,576.0
99,99,0,66,76,75,74,217.0,576.0,185.0
100,100,0,66,76,75,74,,,
101,101,0,66,76,75,74,,,
102,102,0,66,76,75,74,286.0,284.0,176.0
103,103,0,66,76,75,74,289.0,,
104,104,53,77,76,75,74,500.0,498.0,558.0
