,template_id,1,2,3,4,5,6,7,8
0,0,63,21,42,76,35,,,
1,1,9,39,10,86,87,,,
2,2,40,30,23,49,66,230.0,176.0,284.0
3,3,40,30,23,49,66,,,
4,4,63,0,43,35,21,170.0,171.0,
5,5,9,73,10,91,74,230.0,176.0,284.0
6,6,40,30,23,49,66,,,
7,7,40,30,23,49,66,,,
8,8,9,73,10,91,74,,,
9,9,10,8,5,73,61,145.0,154.0,251.0
10,10,9,5,8,61,29,184.0,408.0,575.0
11,11,34,32,22,24,93,,,
12,12,40,69,23,49,66,,,
13,13,14,32,40,23,24,,,
14,14,10,13,32,40,24,,,
15,15,40,69,23,49,66,332.0,631.0,390.0
16,16,67,28,85,75,98,,,
17,17,39,58,1,65,31,151.0,142.0,145.0
18,18,40,69,23,49,66,,,
19,19,69,22,23,49,66,323.0,644.0,363.0
20,20,23,49,66,78,65,494.0,479.0,287.0
21,21,0,76,63,36,43,156.0,113.0,519.0
22,22,23,49,66,78,65,494.0,,
23,23,40,20,22,49,66,506.0,507.0,496.0
24,24,20,22,23,49,66,151.0,142.0,145.0
25,25,32,20,22,23,24,,,
26,26,92,48,87,79,50,162.0,119.0,121.0
27,27,32,20,22,23,24,549.0,490.0,493.0
28,28,67,16,52,39,37,235.0,110.0,171.0
29,29,10,9,61,75,5,286.0,284.0,176.0
30,30,20,22,23,49,66,390.0,389.0,391.0
31,31,40,55,22,23,49,389.0,390.0,391.0
32,32,40,55,22,23,49,,,
33,33,34,78,40,93,22,573.0,330.0,182.0
34,34,33,22,24,93,30,489.0,,
35,35,63,0,21,4,36,,,
36,36,63,21,0,42,43,551.0,,
37,37,89,52,67,39,10,,,
38,38,32,22,23,24,30,223.0,222.0,499.0
39,39,17,67,37,52,58,494.0,229.0,283.0
40,40,23,49,66,78,65,494.0,376.0,167.0
41,41,104,90,84,83,82,223.0,222.0,221.0
42,42,0,43,63,36,76,167.0,387.0,
43,43,21,42,63,36,4,,,
44,44,40,55,22,23,49,,,
45,45,40,55,22,23,49,391.0,390.0,389.0
46,46,47,37,89,85,5,,,
47,47,46,101,61,45,24,260.0,486.0,482.0
48,48,26,92,36,54,87,,,
49,49,40,20,22,23,66,,,
50,50,26,54,79,55,23,258.0,,
51,51,40,55,22,23,49,173.0,287.0,227.0
52,52,67,37,39,57,86,549.0,490.0,493.0
53,53,104,90,80,82,83,258.0,,
54,54,24,18,19,20,44,549.0,490.0,553.0
55,55,40,20,22,23,49,258.0,,
56,56,104,80,62,84,83,626.0,259.0,371.0
57,57,86,52,67,37,39,258.0,,
58,58,17,39,60,1,44,,,
59,59,40,20,22,23,49,573.0,330.0,182.0
60,60,52,58,103,61,78,258.0,,
61,61,10,9,29,102,103,,,
62,62,104,80,84,83,82,258.0,,
63,63,0,35,21,4,36,500.0,498.0,558.0
64,64,70,26,71,23,49,145.0,154.0,251.0
65,65,40,20,22,23,49,,,
66,66,40,20,22,23,49,,,
67,67,28,16,52,39,37,162.0,119.0,113.0
68,68,81,76,26,1,71,,,
69,69,20,22,23,49,66,286.0,284.0,176.0
70,70,37,79,102,10,74,426.0,396.0,198.0
71,71,10,9,89,40,45,426.0,460.0,396.0
72,72,23,31,22,24,95,,,
73,73,5,8,9,10,91,549.0,490.0,553.0
74,74,5,8,99,9,102,,,
75,75,16,29,9,28,61,,,
76,76,21,0,63,36,42,,,
77,77,40,55,22,23,49,,,
78,78,40,20,22,23,49,,,
79,79,81,104,80,82,83,456.0,260.0,349.0
80,80,104,62,56,84,82,,,
81,81,79,68,100,54,70,,,
82,82,104,80,62,56,84,,,
83,83,104,62,56,84,82,,,
84,84,104,80,62,56,83,,,
85,85,16,67,86,28,46,,,
86,86,57,39,52,67,37,456.0,486.0,349.0
87,87,9,26,52,67,37,393.0,198.0,206.0
88,88,99,53,97,102,98,,,
89,89,37,67,39,52,10,467.0,196.0,205.0
90,90,104,80,62,56,84,,,
91,91,8,5,9,73,67,427.0,187.0,566.0
92,92,26,48,87,54,32,,,
93,93,40,55,22,23,49,234.0,235.0,110.0
94,94,31,20,22,23,24,171.0,234.0,235.0
95,95,20,22,23,49,66,469.0,405.0,192.0
96,96,40,55,22,23,49,,,
97,97,73,102,103,88,61,,,
98,98,67,9,103,28,91,185.0,217.0,576.0
99,99,88,103,74,102,97,217.0,576.0,185.0
100,100,66,95,65,32,55,,,
101,101,5,8,102,40,96,,,
102,102,61,103,89,97,10,286.0,284.0,176.0
103,103,102,99,98,61,89,289.0,,
104,104,80,62,56,84,83,500.0,498.0,558.0
