,template_id,1,2,3,4,5,6,7,8
0,0,48,74,73,71,69,,,
1,1,79,33,34,70,87,,,
2,2,0,64,75,74,73,230.0,176.0,284.0
3,3,0,64,75,74,73,,,
4,4,0,64,75,74,73,170.0,171.0,
5,5,0,64,75,74,73,230.0,176.0,284.0
6,6,0,64,75,74,73,,,
7,7,0,64,75,74,73,,,
8,8,0,64,75,74,73,,,
9,9,0,75,74,73,71,145.0,154.0,251.0
10,10,0,64,75,74,73,184.0,408.0,575.0
11,11,0,64,75,74,73,,,
12,12,78,75,74,73,71,,,
13,13,0,78,75,74,73,,,
14,14,0,78,75,74,73,,,
15,15,0,78,75,74,73,332.0,631.0,390.0
16,16,0,78,75,74,73,,,
17,17,0,78,75,74,73,151.0,142.0,145.0
18,18,0,78,75,74,73,,,
19,19,0,78,75,74,73,323.0,644.0,363.0
20,20,0,78,75,74,73,494.0,479.0,287.0
21,21,0,78,75,74,73,156.0,113.0,519.0
22,22,0,78,75,74,73,494.0,,
23,23,25,55,38,56,66,506.0,507.0,496.0
24,24,49,77,75,74,73,151.0,142.0,145.0
25,25,55,23,38,56,66,,,
26,26,0,49,75,74,73,162.0,119.0,121.0
27,27,0,49,75,74,71,549.0,490.0,493.0
28,28,0,49,75,74,73,235.0,110.0,171.0
29,29,0,49,75,74,73,286.0,284.0,176.0
30,30,0,49,75,74,73,390.0,389.0,391.0
31,31,0,49,75,74,73,389.0,390.0,391.0
32,32,0,49,75,74,73,,,
33,33,1,79,34,70,87,573.0,330.0,182.0
34,34,1,79,33,70,87,489.0,,
35,35,0,49,75,74,73,,,
36,36,49,75,74,71,69,551.0,,
37,37,0,64,75,74,73,,,
38,38,55,23,25,56,66,223.0,222.0,499.0
39,39,0,64,75,74,73,494.0,229.0,283.0
40,40,0,64,75,74,73,494.0,376.0,167.0
41,41,0,64,75,74,73,223.0,222.0,221.0
42,42,0,64,75,74,73,167.0,387.0,
43,43,0,64,75,74,73,,,
44,44,0,64,75,73,71,,,
45,45,0,75,74,73,71,391.0,390.0,389.0
46,46,0,64,75,74,73,,,
47,47,49,75,74,73,71,260.0,486.0,482.0
48,48,0,75,74,73,71,,,
49,49,48,75,74,73,71,,,
50,50,0,64,75,74,73,258.0,,
51,51,0,64,75,74,73,173.0,287.0,227.0
52,52,48,75,74,71,69,549.0,490.0,493.0
53,53,0,64,75,74,73,258.0,,
54,54,100,76,72,65,75,549.0,490.0,553.0
55,55,25,23,38,66,75,258.0,,
56,56,0,64,75,74,73,626.0,259.0,371.0
57,57,0,64,75,74,73,258.0,,
58,58,0,64,75,74,73,,,
59,59,0,64,75,74,73,573.0,330.0,182.0
60,60,0,64,75,74,73,258.0,,
61,61,0,64,75,74,73,,,
62,62,0,64,75,74,73,258.0,,
63,63,48,75,74,73,71,500.0,498.0,558.0
64,64,0,48,75,74,73,145.0,154.0,251.0
65,65,0,48,75,74,73,,,
66,66,0,48,75,74,73,,,
67,67,0,48,75,74,73,162.0,119.0,113.0
68,68,0,48,75,74,73,,,
69,69,0,48,75,74,73,286.0,284.0,176.0
70,70,1,79,33,34,54,426.0,396.0,198.0
71,71,0,48,75,74,73,426.0,460.0,396.0
72,72,54,100,65,75,74,,,
73,73,0,48,75,74,71,549.0,490.0,553.0
74,74,0,48,75,73,71,,,
75,75,0,48,73,71,69,,,
76,76,54,100,65,75,73,,,
77,77,48,75,73,71,69,,,
78,78,48,75,74,73,71,,,
79,79,1,33,34,70,87,456.0,260.0,349.0
80,80,77,75,74,73,71,,,
81,81,0,74,73,71,69,,,
82,82,0,77,73,71,69,,,
83,83,0,74,73,71,69,,,
84,84,0,73,71,69,68,,,
85,85,0,74,73,71,69,,,
86,86,0,77,74,73,71,456.0,486.0,349.0
87,87,1,79,33,34,54,393.0,198.0,206.0
88,88,0,77,74,73,71,,,
89,89,0,77,74,73,71,467.0,196.0,205.0
90,90,0,77,74,73,71,,,
91,91,0,77,74,73,69,427.0,187.0,566.0
92,92,77,74,73,71,69,,,
93,93,0,63,74,73,71,234.0,235.0,110.0
94,94,0,63,74,73,71,171.0,234.0,235.0
95,95,0,63,74,73,69,469.0,405.0,192.0
96,96,0,63,74,73,71,,,
97,97,0,63,74,73,71,,,
98,98,0,63,74,73,71,185.0,217.0,576.0
99,99,0,63,74,73,71,217.0,576.0,185.0
100,100,0,64,75,74,73,,,
101,101,0,63,74,73,71,,,
102,102,0,63,74,73,71,286.0,284.0,176.0
103,103,0,63,74,73,71,289.0,,
104,104,48,75,74,73,71,500.0,498.0,558.0
