,template_id,1,2,3,4,5,6,7,8
0,0,35,36,63,11,24,,,
1,1,87,10,64,48,47,,,
2,2,77,6,31,20,78,230.0,176.0,284.0
3,3,104,16,44,59,40,,,
4,4,63,24,50,35,64,170.0,171.0,
5,5,10,86,67,89,46,230.0,176.0,284.0
6,6,77,31,20,78,2,,,
7,7,104,16,44,59,40,,,
8,8,67,86,46,89,91,,,
9,9,10,99,5,1,73,145.0,154.0,251.0
10,10,8,9,86,67,46,184.0,408.0,575.0
11,11,36,0,21,12,55,,,
12,12,94,92,14,23,55,,,
13,13,38,25,14,55,92,,,
14,14,94,12,92,23,55,,,
15,15,104,44,59,40,62,332.0,631.0,390.0
16,16,104,15,44,59,40,,,
17,17,104,15,44,59,40,151.0,142.0,145.0
18,18,104,15,44,59,40,,,
19,19,6,31,20,77,2,323.0,644.0,363.0
20,20,77,6,31,78,2,494.0,479.0,287.0
21,21,36,48,11,24,0,156.0,113.0,519.0
22,22,94,12,92,14,23,494.0,,
23,23,94,12,92,14,55,506.0,507.0,496.0
24,24,48,50,64,87,79,151.0,142.0,145.0
25,25,38,92,23,22,55,,,
26,26,100,92,22,14,55,162.0,119.0,121.0
27,27,25,38,100,87,13,549.0,490.0,493.0
28,28,39,56,58,75,60,235.0,110.0,171.0
29,29,8,67,86,46,61,286.0,284.0,176.0
30,30,104,44,59,40,62,390.0,389.0,391.0
31,31,77,6,20,78,2,389.0,390.0,391.0
32,32,77,2,78,31,6,,,
33,33,48,24,95,21,34,573.0,330.0,182.0
34,34,48,104,16,51,49,489.0,,
35,35,63,36,0,24,48,,,
36,36,35,0,63,11,24,551.0,,
37,37,66,58,39,61,88,,,
38,38,25,92,23,22,55,223.0,222.0,499.0
39,39,58,66,28,87,37,494.0,229.0,283.0
40,40,104,15,44,59,62,494.0,376.0,167.0
41,41,56,60,57,91,52,223.0,222.0,221.0
42,42,35,63,36,104,44,167.0,387.0,
43,43,24,35,48,50,79,,,
44,44,104,15,59,40,62,,,
45,45,20,2,6,19,78,391.0,390.0,389.0
46,46,8,67,86,91,89,,,
47,47,46,8,67,86,89,260.0,486.0,482.0
48,48,24,64,87,79,35,,,
49,49,104,15,44,59,40,,,
50,50,24,64,87,35,79,258.0,,
51,51,15,44,59,40,62,173.0,287.0,227.0
52,52,57,41,91,60,93,549.0,490.0,493.0
53,53,88,75,73,60,74,258.0,,
54,54,104,15,51,44,59,549.0,490.0,553.0
55,55,94,12,92,14,23,258.0,,
56,56,41,28,60,73,83,626.0,259.0,371.0
57,57,91,41,60,52,31,258.0,,
58,58,39,66,28,37,87,,,
59,59,104,15,44,40,62,573.0,330.0,182.0
60,60,41,91,85,73,52,258.0,,
61,61,8,86,67,46,89,,,
62,62,104,15,44,59,40,258.0,,
63,63,35,4,36,24,0,500.0,498.0,558.0
64,64,24,48,50,87,35,145.0,154.0,251.0
65,65,104,15,44,59,40,,,
66,66,58,39,37,61,88,,,
67,67,86,8,89,46,10,162.0,119.0,113.0
68,68,24,48,12,94,23,,,
69,69,24,48,79,54,76,286.0,284.0,176.0
70,70,75,48,24,50,45,426.0,396.0,198.0
71,71,48,24,50,64,45,426.0,460.0,396.0
72,72,64,100,24,48,104,,,
73,73,75,61,10,89,60,549.0,490.0,553.0
74,74,88,85,75,53,2,,,
75,75,102,70,88,77,2,,,
76,76,48,79,24,104,83,,,
77,77,6,31,20,78,2,,,
78,78,6,31,20,77,2,,,
79,79,24,48,81,35,87,456.0,260.0,349.0
80,80,104,15,44,59,40,,,
81,81,79,48,24,50,35,,,
82,82,104,15,44,59,40,,,
83,83,104,15,44,59,40,,,
84,84,102,103,99,98,28,,,
85,85,47,60,74,97,2,,,
86,86,67,8,89,46,10,456.0,486.0,349.0
87,87,48,24,8,67,86,393.0,198.0,206.0
88,88,78,77,2,20,19,,,
89,89,67,86,8,46,91,467.0,196.0,205.0
90,90,104,16,44,59,40,,,
91,91,57,46,8,67,86,427.0,187.0,566.0
92,92,94,12,14,23,55,,,
93,93,12,23,55,92,14,234.0,235.0,110.0
94,94,12,92,14,23,55,171.0,234.0,235.0
95,95,92,55,23,22,94,469.0,405.0,192.0
96,96,104,16,44,59,40,,,
97,97,60,104,17,59,44,,,
98,98,102,75,61,93,52,185.0,217.0,576.0
99,99,103,9,84,73,102,217.0,576.0,185.0
100,100,104,59,30,65,80,,,
101,101,104,15,30,40,44,,,
102,102,75,98,84,93,101,286.0,284.0,176.0
103,103,99,84,9,104,30,289.0,,
104,104,15,44,59,40,62,500.0,498.0,558.0
