,template_id,1,2,3,4,5,6,7,8
0,0,21,43,4,35,36,,,
1,1,88,87,39,91,58,,,
2,2,87,98,71,100,30,230.0,176.0,284.0
3,3,82,96,65,44,40,,,
4,4,21,63,35,0,36,170.0,171.0,
5,5,10,61,9,91,67,230.0,176.0,284.0
6,6,7,56,41,45,47,,,
7,7,6,56,41,45,47,,,
8,8,61,67,9,10,66,,,
9,9,10,8,61,39,91,145.0,154.0,251.0
10,10,9,8,61,39,5,184.0,408.0,575.0
11,11,13,92,12,34,33,,,
12,12,13,11,92,33,15,,,
13,13,11,92,12,34,33,,,
14,14,22,36,72,68,81,,,
15,15,82,96,65,44,40,332.0,631.0,390.0
16,16,46,67,66,20,45,,,
17,17,37,67,66,86,20,151.0,142.0,145.0
18,18,82,96,65,44,40,,,
19,19,47,57,67,66,20,323.0,644.0,363.0
20,20,67,66,53,57,16,494.0,479.0,287.0
21,21,35,4,0,63,68,156.0,113.0,519.0
22,22,93,14,87,72,54,494.0,,
23,23,46,52,58,74,98,506.0,507.0,496.0
24,24,77,55,68,38,35,151.0,142.0,145.0
25,25,55,23,59,15,90,,,
26,26,33,100,72,64,14,162.0,119.0,121.0
27,27,93,94,50,64,82,549.0,490.0,493.0
28,28,39,91,10,85,9,235.0,110.0,171.0
29,29,67,20,9,8,66,286.0,284.0,176.0
30,30,82,96,65,44,40,390.0,389.0,391.0
31,31,48,52,78,50,42,389.0,390.0,391.0
32,32,33,52,31,34,72,,,
33,33,34,15,44,65,62,573.0,330.0,182.0
34,34,33,11,44,96,62,489.0,,
35,35,21,4,0,63,68,,,
36,36,63,42,43,14,21,551.0,,
37,37,17,86,60,67,75,,,
38,38,77,24,103,50,60,223.0,222.0,499.0
39,39,67,66,91,9,88,494.0,229.0,283.0
40,40,82,96,65,44,30,494.0,376.0,167.0
41,41,7,6,56,50,76,223.0,222.0,221.0
42,42,43,36,65,15,30,167.0,387.0,
43,43,42,0,63,21,35,,,
44,44,82,96,65,40,30,,,
45,45,67,47,16,66,20,391.0,390.0,389.0
46,46,16,57,67,52,58,,,
47,47,57,19,45,46,67,260.0,486.0,482.0
48,48,64,31,81,87,72,,,
49,49,82,96,65,44,40,,,
50,50,64,81,70,76,93,258.0,,
51,51,82,96,65,44,40,173.0,287.0,227.0
52,52,46,67,66,45,53,549.0,490.0,493.0
53,53,67,66,20,46,39,258.0,,
54,54,59,15,49,83,44,549.0,490.0,553.0
55,55,24,25,27,18,15,258.0,,
56,56,7,6,84,41,28,626.0,259.0,371.0
57,57,47,46,19,67,20,258.0,,
58,58,46,47,16,45,39,,,
59,59,82,96,65,44,40,573.0,330.0,182.0
60,60,37,20,52,17,67,258.0,,
61,61,8,9,67,10,66,,,
62,62,96,65,44,40,30,258.0,,
63,63,4,21,36,68,43,500.0,498.0,558.0
64,64,48,50,87,81,1,145.0,154.0,251.0
65,65,82,96,44,40,30,,,
66,66,67,39,8,20,53,,,
67,67,66,39,20,8,53,162.0,119.0,113.0
68,68,63,79,21,72,54,,,
69,69,10,5,74,28,73,286.0,284.0,176.0
70,70,1,81,65,51,80,426.0,396.0,198.0
71,71,5,10,9,61,81,426.0,460.0,396.0
72,72,81,40,59,49,18,,,
73,73,10,5,85,9,39,549.0,490.0,553.0
74,74,9,10,61,85,8,,,
75,75,37,88,89,60,29,,,
76,76,81,30,62,59,18,,,
77,77,38,24,33,34,1,,,
78,78,31,79,45,46,76,,,
79,79,68,81,82,62,59,456.0,260.0,349.0
80,80,82,96,65,44,40,,,
81,81,87,64,70,48,72,,,
82,82,96,65,44,40,30,,,
83,83,82,96,65,44,40,,,
84,84,56,29,79,89,28,,,
85,85,9,10,88,91,39,,,
86,86,37,88,8,17,67,456.0,486.0,349.0
87,87,67,66,16,39,61,393.0,198.0,206.0
88,88,39,91,85,86,9,,,
89,89,88,66,61,17,67,467.0,196.0,205.0
90,90,82,96,65,44,40,,,
91,91,39,8,9,61,10,427.0,187.0,566.0
92,92,13,11,12,33,54,,,
93,93,22,27,50,34,14,234.0,235.0,110.0
94,94,27,1,54,22,14,171.0,234.0,235.0
95,95,17,33,5,3,30,469.0,405.0,192.0
96,96,82,65,44,40,30,,,
97,97,49,18,40,15,44,,,
98,98,82,62,44,30,96,185.0,217.0,576.0
99,99,103,56,37,30,15,217.0,576.0,185.0
100,100,62,44,90,80,30,,,
101,101,80,59,30,90,40,,,
102,102,30,90,18,82,80,286.0,284.0,176.0
103,103,99,44,65,96,40,289.0,,
104,104,29,37,28,99,30,500.0,498.0,558.0
