,user_id,1,2,3,4,5,6,7,8
0,1,48,64,43,67,34,119.0,113.0,198.0
1,3,34,72,79,71,33,182.0,456.0,332.0
2,4,75,29,73,76,72,154.0,427.0,230.0
3,5,69,74,60,28,27,549.0,389.0,493.0
4,6,76,55,48,50,64,396.0,426.0,182.0
5,8,19,74,75,71,63,185.0,217.0,576.0
6,9,73,100,74,45,53,145.0,286.0,260.0
7,11,75,47,102,50,1,549.0,573.0,198.0
8,12,100,1,76,58,61,154.0,489.0,575.0
9,13,74,76,73,1,50,426.0,573.0,549.0
10,15,66,75,74,73,28,286.0,479.0,549.0
11,21,35,103,102,29,21,,,
12,22,64,72,50,63,1,145.0,154.0,251.0
13,25,2,1,101,46,73,187.0,393.0,283.0
14,37,29,0,48,4,35,349.0,151.0,223.0
15,68,73,29,100,28,70,176.0,553.0,113.0
16,73,79,72,70,71,54,396.0,258.0,469.0
17,79,35,103,102,29,21,,,
18,88,14,55,42,63,38,549.0,490.0,553.0
19,118,89,19,29,36,28,286.0,284.0,176.0
20,143,67,102,28,48,66,389.0,390.0,235.0
21,157,86,19,60,46,91,323.0,644.0,363.0
22,168,46,85,28,29,37,217.0,576.0,289.0
23,176,72,42,43,50,54,426.0,396.0,198.0
24,210,66,92,53,55,93,198.0,393.0,206.0
25,244,72,76,100,98,71,176.0,286.0,289.0
26,258,95,54,27,26,98,234.0,235.0,110.0
27,280,29,70,34,66,87,217.0,576.0,185.0
28,299,50,79,64,71,33,260.0,456.0,396.0
29,352,11,68,33,79,81,260.0,489.0,426.0
30,361,33,76,21,70,73,426.0,396.0,198.0
31,364,97,1,37,85,28,396.0,460.0,426.0
32,367,35,81,79,76,54,426.0,206.0,549.0
33,371,34,56,80,6,74,426.0,110.0,154.0
34,372,69,104,63,71,1,426.0,349.0,176.0
35,375,54,68,76,34,33,490.0,289.0,176.0
36,385,64,76,81,0,98,549.0,456.0,490.0
37,386,50,42,68,48,27,389.0,490.0,549.0
38,404,93,64,63,72,1,258.0,,
39,422,54,100,55,36,11,154.0,258.0,549.0
40,470,87,26,27,97,33,573.0,330.0,182.0
41,471,29,50,100,1,68,258.0,223.0,427.0
42,488,38,11,55,63,68,349.0,490.0,260.0
43,490,48,29,72,68,75,460.0,284.0,553.0
44,497,1,70,71,102,97,119.0,349.0,549.0
45,498,91,69,50,85,86,258.0,176.0,549.0
46,505,91,53,35,73,20,549.0,490.0,553.0
47,507,63,38,54,32,4,260.0,182.0,549.0
48,508,33,71,73,64,56,490.0,553.0,460.0
49,509,39,98,74,5,1,460.0,396.0,549.0
50,514,97,74,75,82,83,284.0,576.0,289.0
51,515,87,1,34,33,63,426.0,460.0,396.0
52,574,87,1,50,48,47,258.0,,
53,584,13,34,64,42,43,489.0,,
54,608,66,85,28,19,1,,,
55,756,16,45,41,60,37,289.0,,
56,788,39,63,25,26,46,,,
57,807,70,33,72,100,71,426.0,460.0,396.0
58,898,25,1,70,43,34,,,
59,951,100,48,72,54,68,235.0,171.0,151.0
60,955,70,21,41,77,78,,,
61,957,9,54,63,35,21,500.0,498.0,558.0
62,973,13,34,64,42,43,489.0,,
63,1002,66,85,28,19,1,,,
64,1007,49,42,98,48,31,,,
65,1050,11,54,70,100,99,396.0,198.0,553.0
66,1079,72,103,27,4,26,,,
67,1090,58,50,97,68,33,573.0,330.0,182.0
68,1190,72,81,68,70,43,490.0,489.0,151.0
69,1248,87,32,54,76,4,549.0,490.0,553.0
70,1262,54,63,43,35,33,500.0,498.0,558.0
71,1273,39,63,25,26,46,,,
72,1279,11,33,101,25,48,222.0,182.0,573.0
73,1322,33,54,32,92,24,426.0,549.0,460.0
74,1360,14,55,42,63,38,549.0,490.0,553.0
75,1413,97,73,102,21,76,258.0,223.0,499.0
76,1889,2,28,72,19,58,393.0,198.0,206.0
77,2162,70,76,100,1,72,192.0,490.0,154.0
78,2200,75,29,28,60,58,184.0,389.0,494.0
79,2243,24,32,33,54,27,110.0,182.0,234.0
80,2284,87,1,50,48,47,258.0,,
81,2323,81,70,34,64,50,460.0,396.0,206.0
82,2340,81,64,34,71,76,393.0,553.0,456.0
83,2346,1,100,81,79,72,490.0,553.0,549.0
84,2357,50,54,48,64,68,260.0,198.0,426.0
85,2359,70,34,48,50,1,154.0,182.0,251.0
86,2437,34,50,54,68,72,456.0,260.0,349.0
87,2456,1,73,27,54,91,576.0,493.0,489.0
88,2740,100,27,43,5,81,330.0,154.0,251.0
89,2781,97,70,73,74,75,426.0,396.0,553.0
90,2852,72,28,75,45,97,,,
91,2924,69,103,98,74,53,396.0,460.0,426.0
92,2962,66,85,28,19,1,,,
93,2966,97,64,74,76,54,426.0,460.0,396.0
94,3074,75,1,91,73,70,549.0,349.0,490.0
95,3103,43,70,76,66,50,426.0,396.0,198.0
96,3107,79,1,54,71,87,549.0,519.0,182.0
97,3133,76,100,54,68,71,426.0,553.0,490.0
98,3143,16,53,93,76,37,206.0,489.0,393.0
99,3161,66,85,28,19,1,,,
100,3170,66,85,28,19,1,,,
101,3172,50,79,31,48,43,349.0,490.0,260.0
102,3213,32,95,54,81,48,549.0,490.0,553.0
103,3214,54,26,38,1,32,549.0,490.0,553.0
104,3229,71,34,100,50,87,260.0,489.0,456.0
105,3239,72,36,43,1,25,489.0,,
106,3264,76,48,23,24,25,162.0,490.0,396.0
107,3306,87,26,27,97,33,573.0,330.0,182.0
108,3326,35,103,102,29,21,,,
109,3330,64,21,26,73,55,,,
110,3364,100,87,14,11,99,549.0,490.0,206.0
111,3371,76,43,100,68,42,549.0,490.0,426.0
112,3380,100,54,68,26,72,549.0,490.0,553.0
113,3384,69,75,76,85,98,549.0,490.0,553.0
114,3385,35,103,102,29,21,,,
115,3392,14,55,42,63,38,549.0,490.0,553.0
116,3398,33,55,48,1,25,573.0,489.0,182.0
117,3402,35,103,102,29,21,,,
118,3403,97,50,101,68,100,,,
119,3407,32,54,31,0,64,396.0,496.0,222.0
120,3416,50,48,28,25,14,,,
121,3418,87,26,27,97,33,573.0,330.0,182.0
122,3431,95,70,79,81,27,456.0,260.0,349.0
123,3434,100,54,11,99,71,549.0,490.0,553.0
124,3451,36,34,87,81,43,553.0,426.0,426.0
125,3460,34,72,87,32,41,549.0,489.0,490.0
126,3462,48,34,68,36,28,573.0,330.0,182.0
127,3463,33,32,54,95,81,192.0,330.0,469.0
128,3472,54,42,63,38,36,499.0,222.0,553.0
129,3485,50,26,27,95,33,171.0,234.0,235.0
130,3493,50,97,33,34,35,393.0,198.0,206.0
131,3495,72,42,43,50,54,426.0,396.0,198.0
132,3497,64,21,26,73,55,,,
133,3502,17,53,61,47,46,258.0,187.0,287.0
134,3522,39,63,25,26,46,,,
135,3529,14,55,42,63,38,549.0,490.0,553.0
136,3542,26,27,95,92,29,396.0,499.0,549.0
137,3547,95,34,100,33,92,258.0,235.0,171.0
138,3549,58,33,101,100,34,489.0,330.0,573.0
139,3551,91,54,37,33,28,573.0,330.0,182.0
140,3552,14,55,42,63,38,549.0,490.0,553.0
141,3558,100,55,47,74,9,489.0,,
142,3559,14,55,42,63,38,549.0,490.0,553.0
143,3562,39,63,25,26,46,,,
144,3563,13,34,64,42,43,489.0,,
145,3566,71,100,50,41,70,235.0,230.0,489.0
146,3572,100,1,54,64,68,251.0,490.0,154.0
147,3575,54,55,38,32,11,549.0,490.0,553.0
148,3576,71,72,100,26,92,426.0,460.0,396.0
149,3582,23,24,92,48,87,,,
150,3587,95,54,27,26,98,234.0,235.0,110.0
151,3589,75,43,64,98,70,426.0,151.0,349.0
152,3595,87,26,27,97,33,573.0,330.0,182.0
