A,B,rule,confidence
BUTTON,CHECKBOX,B -> A,87.5,2.0833333333333335
CHECKBOX,BUTTON,A -> B,87.5,2.0833333333333335
BUTTON,DIVIDER,B -> A,100.0,2.380952380952381
DIVIDER,BUTTON,A -> B,100.0,2.380952380952381
BUTTON,TEXT,A -> B,73.80952380952381,1.4194139194139195
TEXT,BUTTON,B -> A,73.80952380952381,1.4194139194139195
BUTTON,TEXTBOX,B -> A,93.33333333333333,2.2222222222222223
TEXTBOX,BUTTON,A -> B,93.33333333333333,2.2222222222222223
CHECKBOX,TEXT,A -> B,87.5,1.6826923076923077
TEXT,CHECKBOX,B -> A,87.5,1.6826923076923077
CHECKBOX,TEXTBOX,A -> B,87.5,5.833333333333333
TEXTBOX,CHECKBOX,B -> A,87.5,5.833333333333333
DIVIDER,TEXT,A -> B,100.0,1.9230769230769231
TEXT,DIVIDER,B -> A,100.0,1.9230769230769231
DIVIDER,TEXTBOX,A -> B,75.0,5.0
TEXTBOX,DIVIDER,B -> A,75.0,5.0
ICON,TEXT,A -> B,82.75862068965517,1.5915119363395225
TEXT,ICON,B -> A,82.75862068965517,1.5915119363395225
IMAGE,TEXT,A -> B,73.68421052631578,1.4170040485829958
TEXT,IMAGE,B -> A,73.68421052631578,1.4170040485829958
TEXT,TEXTBOX,B -> A,73.33333333333333,1.4102564102564101
TEXTBOX,TEXT,A -> B,73.33333333333333,1.4102564102564101
