A,B,rule,confidence
"('AVATAR', 'TEXTBOX')",ICON,A -> B,100.0,3.4482758620689653
"('CHECKBOX', 'DIVIDER')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'CHECKBOX')",TEXT,A -> B,100.0,1.9230769230769231
"('BUTTON', 'TEXT')",CHECKBOX,B -> A,87.5,2.8225806451612905
"('CHECKBOX', 'TEXT')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'CHECKBOX')",TEXTBOX,A -> B,100.0,6.666666666666667
"('BUTTON', 'TEXTBOX')",CHECKBOX,B -> A,87.5,6.25
"('CHECKBOX', 'TEXTBOX')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'DIVIDER')",TEXT,A -> B,100.0,1.9230769230769231
"('BUTTON', 'TEXT')",DIVIDER,B -> A,100.0,3.225806451612903
"('DIVIDER', 'TEXT')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'DIVIDER')",TEXTBOX,A -> B,75.0,5.0
"('BUTTON', 'TEXTBOX')",DIVIDER,B -> A,75.0,5.357142857142857
"('DIVIDER', 'TEXTBOX')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'ICON')",TEXT,A -> B,84.61538461538461,1.6272189349112425
"('BUTTON', 'IMAGE')",TEXT,A -> B,91.66666666666666,1.7628205128205126
"('IMAGE', 'TEXT')",BUTTON,A -> B,78.57142857142857,1.8707482993197277
"('BUTTON', 'TEXT')",TEXTBOX,B -> A,73.33333333333333,2.365591397849462
"('BUTTON', 'TEXTBOX')",TEXT,A -> B,78.57142857142857,1.510989010989011
"('TEXT', 'TEXTBOX')",BUTTON,A -> B,100.0,2.380952380952381
"('CHECKBOX', 'TEXT')",TEXTBOX,A -> B,100.0,6.666666666666667
"('CHECKBOX', 'TEXTBOX')",TEXT,A -> B,100.0,1.9230769230769231
"('TEXT', 'TEXTBOX')",CHECKBOX,B -> A,87.5,7.954545454545454
"('DIVIDER', 'TEXT')",TEXTBOX,A -> B,75.0,5.0
"('DIVIDER', 'TEXTBOX')",TEXT,A -> B,100.0,1.9230769230769231
"('TEXT', 'TEXTBOX')",DIVIDER,B -> A,75.0,6.818181818181818
