A,B,rule,confidence
"('BUTTON', 'CHECKBOX', 'DIVIDER')",TEXT,A -> B,100.0,1.9230769230769231
"('CHECKBOX', 'DIVIDER', 'TEXT')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'CHECKBOX', 'DIVIDER')",TEXTBOX,A -> B,100.0,6.666666666666667
"('BUTTON', 'DIVIDER', 'TEXTBOX')",CHECKBOX,A -> B,83.33333333333334,10.416666666666668
"('CHECKBOX', 'DIVIDER', 'TEXTBOX')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'CHECKBOX', 'TEXT')",TEXTBOX,A -> B,100.0,6.666666666666667
"('BUTTON', 'CHECKBOX', 'TEXTBOX')",TEXT,A -> B,100.0,1.9230769230769231
"('BUTTON', 'TEXT', 'TEXTBOX')",CHECKBOX,B -> A,87.5,7.954545454545454
"('CHECKBOX', 'TEXT', 'TEXTBOX')",BUTTON,A -> B,100.0,2.380952380952381
"('BUTTON', 'DIVIDER', 'TEXT')",TEXTBOX,A -> B,75.0,5.0
"('BUTTON', 'DIVIDER', 'TEXTBOX')",TEXT,A -> B,100.0,1.9230769230769231
"('BUTTON', 'TEXT', 'TEXTBOX')",DIVIDER,B -> A,75.0,6.818181818181818
"('DIVIDER', 'TEXT', 'TEXTBOX')",BUTTON,A -> B,100.0,2.380952380952381
