com1_type,com2_type,similarity
AVATAR,AVATAR,10868.378885743572,2492
AVATAR,BUTTON,49472.876901694995,4755
AVATAR,CHECKBOX,4303.747842527419,930
AVATAR,DIVIDER,26587.161077863584,2652
AVATAR,DROPDOWN_BUTTON,1964.600238150332,132
AVATAR,ICON,50723.638147791266,5285
AVATAR,IMAGE,29765.51954337651,2636
AVATAR,RECTANGLE,2329.0643150926494,247
AVATAR,TEXTAREA,1045.8251594939618,79
AVATAR,TEXTBOX,9945.709601841883,867
BUTTON,BUTTON,81096.55727753481,22711
BUTTON,CHECKBOX,28553.930123040118,1883
BUTTON,DIVIDER,46722.20047340509,4992
BUTTON,DROPDOWN_BUTTON,4708.324923714957,427
BUTTON,ICON,101693.25785115792,11802
BUTTON,IMAGE,54511.463330613435,5610
BUTTON,RECTANGLE,6161.926577940074,739
BUTTON,TEXTAREA,732.9386656516824,90
BUTTON,TEXTBOX,21909.731831172434,2464
CHECKBOX,CHECKBOX,88.62741270020247,539
CHECKBOX,DIVIDER,14182.87816387342,1517
CHECKBOX,DROPDOWN_BUTTON,1121.0154756085165,76
CHECKBOX,ICON,25800.732756643447,1689
CHECKBOX,IMAGE,2453.7599741704867,421
CHECKBOX,RECTANGLE,109.28128881156266,20
CHECKBOX,TEXTAREA,79.79838820325375,22
CHECKBOX,TEXTBOX,2654.649492023179,414
DIVIDER,DIVIDER,11752.404545511676,2104
DIVIDER,DROPDOWN_BUTTON,1423.4908443973834,146
DIVIDER,ICON,65402.98226322739,6336
DIVIDER,IMAGE,28190.772678309157,3063
DIVIDER,RECTANGLE,3206.870569822092,298
DIVIDER,TEXTAREA,307.2310321873909,38
DIVIDER,TEXTBOX,11873.712150493222,1361
DROPDOWN_BUTTON,DROPDOWN_BUTTON,158.9001166671127,66
DROPDOWN_BUTTON,ICON,4932.673933770101,487
DROPDOWN_BUTTON,IMAGE,2313.9205838184575,299
DROPDOWN_BUTTON,RECTANGLE,222.62899542054177,23
DROPDOWN_BUTTON,TEXTAREA,51.196386866780706,16
DROPDOWN_BUTTON,TEXTBOX,1051.1651135286106,133
ICON,ICON,58664.37125619658,8884
ICON,IMAGE,69983.44347453945,7123
ICON,RECTANGLE,12995.627819153902,1725
ICON,TEXTAREA,1731.0479199176216,149
ICON,TEXTBOX,25645.227435255078,2463
IMAGE,IMAGE,27068.763686055405,6455
IMAGE,RECTANGLE,5747.0621987624145,752
IMAGE,TEXTAREA,967.6405288747903,93
IMAGE,TEXTBOX,17291.15775717348,1962
RECTANGLE,RECTANGLE,3597.02887816233,651
RECTANGLE,TEXTAREA,80.23286357001172,12
RECTANGLE,TEXTBOX,951.574498284841,108
TEXTAREA,TEXTAREA,136.01552883448124,13
TEXTAREA,TEXTBOX,762.802370294315,123
TEXTBOX,TEXTBOX,5075.670203345949,968
