Id,Components
4824,"['AVATAR', 'BUTTON', 'IMAGE', 'BUTTON', 'AVATAR', 'AVATAR', 'TEXT', 'TEXT', 'TEXT']"
473870,"['TEXT', 'TEXT', 'TEXT', 'CHECKBOX', 'DIVIDER', 'TEXT', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'DIVIDER', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'BUTTON', 'DIVIDER']"
473776,"['DIVIDER', 'SWITCH', 'SIDEBAR_MENU', 'SIDEBAR_MENU', 'DIVIDER', 'AVATAR', 'TEXT', 'TEXT', 'DIVIDER', 'DIVIDER', 'SIDEBAR_MENU', 'SIDEBAR_MENU']"
2098594,"['TEXT', 'ICON', 'TEXT', 'IMAGE', 'BUTTON', 'BUTTON']"
2098602,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'ICON', 'ICON']"
319595,"['TEXTBOX', 'TEXT', 'AVATAR', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'ICON', 'TEXT', 'BUTTON', 'ICON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'DIVIDER', 'ICON', 'BUTTON', 'TEXT', 'TEXT']"
2723,"['TEXT', 'TEXT', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON', 'CHECKBOX', 'DIVIDER', 'BUTTON', 'DIVIDER', 'DIVIDER', 'DIVIDER', 'DIVIDER', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXTBOX']"
61331,"['AVATAR', 'COLLAPSED_SIDEBAR_MENU', 'COLLAPSED_SIDEBAR_MENU']"
4802,"['TEXT', 'IMAGE', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'ICON', 'BUTTON', 'BUTTON', 'BUTTON']"
4779,"['TEXT', 'IMAGE', 'TEXT', 'TEXT', 'TAG']"
2098585,"['TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'ICON', 'TEXT']"
2098629,"['ICON', 'TEXT', 'TEXT', 'BUTTON']"
4851,"['TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TEXT', 'ICON']"
2098766,"['ICON', 'ICON', 'RECTANGLE', 'RECTANGLE', 'RECTANGLE']"
