"user_id","template_id","count"
1,34,1
3,34,1
4,34,15
6,34,1
9,34,3
12,34,1
13,34,1
37,34,1
73,34,4
210,34,1
299,34,5
352,34,1
367,34,1
372,34,3
375,34,2
385,34,8
386,34,1
471,34,2
490,34,1
497,34,45
584,34,1
951,34,1
973,34,1
1190,34,1
1279,34,2
2162,34,5
2340,34,1
2359,34,1
2456,34,1
3143,34,1
3229,34,1
3239,34,1
3264,34,1
3398,34,1
3460,34,3
3542,34,1
3549,34,1
3558,34,1
3563,34,1
3566,34,3
3714,34,1
3716,34,1
3825,34,1
3882,34,1
3884,34,1
3918,34,1
3933,34,1
4015,34,1
4096,34,1
4113,34,1
4176,34,1
4185,34,1
4318,34,1
4320,34,1
4487,34,1
4572,34,1
4777,34,1
4788,34,1
4822,34,1
4867,34,1
4948,34,5
5062,34,1
5182,34,1
5269,34,1
5324,34,1
5340,34,1
5351,34,1
5375,34,1
5452,34,2
5457,34,1
5564,34,1
5583,34,1
5592,34,7
5620,34,1
5676,34,3
5856,34,1
6012,34,1
6021,34,1
6058,34,1
6239,34,1
6332,34,3
6338,34,1
6495,34,1
6544,34,1
6622,34,1
6670,34,1
6677,34,2
6813,34,1
6873,34,1
7048,34,1
7158,34,3
7164,34,1
7199,34,1
7306,34,1
7418,34,1
7434,34,1
7439,34,1
7450,34,1
7502,34,1
7509,34,2
7639,34,1
7657,34,1
7678,34,1
7790,34,1
7814,34,1
7852,34,3
7875,34,1
7877,34,1
7923,34,1
8144,34,1
8216,34,1
8462,34,1
8479,34,1
8542,34,1
8638,34,1
8721,34,1
8835,34,1
8916,34,1
8934,34,1
8946,34,1
9226,34,1
9273,34,1
9424,34,1
9461,34,1
9473,34,1
9485,34,1
9598,34,1
9627,34,1
9644,34,1
9811,34,2
9889,34,1
9975,34,1
9978,34,3
10090,34,1
10093,34,1
10097,34,1
10189,34,3
10202,34,1
10216,34,1
10285,34,1
10418,34,1
10439,34,1
10604,34,1
10692,34,1
10745,34,1
10784,34,1
10840,34,1
10860,34,1
10903,34,1
10969,34,2
11008,34,1
11058,34,1
11087,34,1
11152,34,1
11284,34,1
11301,34,1
11331,34,1
11570,34,1
11620,34,1
11623,34,1
11631,34,1
11867,34,1
11947,34,1
12031,34,1
12121,34,1
12213,34,1
12231,34,1
12823,34,1
12896,34,1
13040,34,1
13139,34,1
13168,34,1
13189,34,1
13367,34,1
13393,34,1
13476,34,1
13526,34,1
13546,34,1
13614,34,1
13671,34,1
13775,34,1
13850,34,1
13882,34,1
13887,34,1
13950,34,1
13995,34,1
14001,34,1
14010,34,1
14159,34,1
14506,34,1
14793,34,1
14815,34,1
14914,34,1
14918,34,1
14965,34,1
15175,34,1
15254,34,1
15265,34,1
15328,34,1
15425,34,1
15444,34,1
15525,34,1
15782,34,1
15840,34,1
16067,34,1
16144,34,1
16173,34,1
16178,34,1
16243,34,1
16385,34,1
16798,34,1
16836,34,1
17006,34,1
17135,34,2
17145,34,2
17201,34,1
17240,34,1
17325,34,1
17366,34,1
17410,34,1
17472,34,1
17498,34,1
17569,34,1
17778,34,1
17785,34,2
17816,34,2
17834,34,1
17848,34,1
17953,34,1
17954,34,1
18065,34,1
18206,34,1
18312,34,1
18454,34,1
18637,34,1
18806,34,3
19017,34,1
19094,34,1
19100,34,1
19232,34,2
19258,34,2
19394,34,1
19559,34,1
19619,34,1
19716,34,1
19995,34,1
20096,34,1
20176,34,1
20384,34,1
20401,34,1
20412,34,1
20483,34,2
20574,34,1
20631,34,2
20806,34,1
20859,34,1
20957,34,4
20960,34,1
20967,34,1
21013,34,1
21190,34,1
21708,34,1
21737,34,1
21809,34,1
21867,34,2
22020,34,3
22059,34,1
22068,34,1
22110,34,1
22192,34,2
22290,34,1
22295,34,1
22357,34,1
22407,34,1
22457,34,1
22549,34,1
22878,34,1
23088,34,1
23293,34,1
23323,34,1
23356,34,2
23418,34,1
23584,34,1
23724,34,1
23832,34,1
23887,34,1
24039,34,1
24161,34,1
24219,34,1
1,64,1
4,64,7
9,64,3
13,64,1
22,64,1
37,64,1
73,64,4
244,64,1
367,64,2
371,64,4
372,64,2
385,64,17
422,64,1
471,64,7
490,64,1
497,64,27
508,64,1
1190,64,1
2162,64,4
2357,64,1
2359,64,1
2740,64,1
3172,64,1
3264,64,1
3502,64,1
3542,64,1
3566,64,1
3572,64,1
3613,64,1
3882,64,1
3974,64,1
4318,64,1
4822,64,1
4948,64,3
4975,64,1
5264,64,1
5351,64,1
5365,64,1
5374,64,1
5457,64,1
5592,64,2
5676,64,3
5718,64,1
5774,64,1
5847,64,1
5939,64,1
6043,64,1
6055,64,1
6058,64,1
6228,64,1
6232,64,1
6330,64,1
6367,64,1
6391,64,1
6459,64,1
6483,64,1
6541,64,1
6544,64,1
6608,64,1
6670,64,1
6677,64,1
6973,64,1
7158,64,3
7172,64,1
7206,64,1
7235,64,1
7242,64,1
7304,64,1
7305,64,1
7358,64,6
7418,64,1
7434,64,1
7445,64,1
7473,64,1
7636,64,1
7639,64,1
7657,64,1
7659,64,1
7783,64,1
7852,64,1
7873,64,1
7914,64,1
8479,64,1
8492,64,2
8552,64,1
8732,64,1
8818,64,2
8827,64,1
8918,64,1
8967,64,1
9056,64,1
9077,64,2
9099,64,1
9123,64,1
9185,64,1
9273,64,1
9320,64,1
9353,64,2
9388,64,1
9394,64,1
9461,64,1
9473,64,3
9553,64,1
9563,64,1
9917,64,1
9950,64,1
9978,64,2
10031,64,1
10044,64,1
10169,64,1
10189,64,1
11440,64,1
11486,64,1
11786,64,1
11957,64,1
11980,64,1
12407,64,1
12975,64,1
13367,64,3
13878,64,1
13882,64,2
14776,64,1
15975,64,1
16087,64,2
16694,64,1
17449,64,1
17599,64,1
17872,64,1
17954,64,1
18065,64,1
18206,64,1
18438,64,1
20644,64,1
21013,64,1
22060,64,1
22407,64,1
22566,64,1
1,67,1
4,67,4
15,67,2
168,67,1
372,67,1
386,67,1
471,67,1
497,67,94
5592,67,1
6228,67,2
6875,67,1
7007,67,1
7089,67,1
7674,67,1
7752,67,1
7822,67,1
8932,67,1
9125,67,1
9643,67,1
9978,67,1
10318,67,1
11431,67,1
11755,67,1
12877,67,1
12882,67,3
13098,67,1
13531,67,1
13862,67,1
13882,67,2
14740,67,1
16144,67,1
16363,67,1
16900,67,1
16975,67,1
17090,67,1
17261,67,1
17577,67,1
18914,67,1
19093,67,1
19500,67,1
19870,67,1
20259,67,1
21782,67,1
23026,67,1
23832,67,1
1,87,1
4,87,11
9,87,2
12,87,2
13,87,1
15,87,2
25,87,2
37,87,1
73,87,5
210,87,1
367,87,2
372,87,3
385,87,4
386,87,1
471,87,3
490,87,1
497,87,129
1889,87,1
2162,87,4
2323,87,2
2340,87,1
3107,87,2
3143,87,1
3264,87,1
3364,87,1
3493,87,1
3542,87,1
3572,87,1
3716,87,1
3744,87,1
3884,87,1
4176,87,1
4318,87,1
4377,87,1
4578,87,2
4822,87,1
4878,87,1
4917,87,1
4948,87,4
4975,87,1
5263,87,1
5269,87,1
5351,87,1
5373,87,1
5452,87,1
5456,87,1
5457,87,2
5537,87,1
5592,87,6
5653,87,1
5676,87,1
5718,87,1
5724,87,2
5762,87,1
5824,87,1
5846,87,1
5866,87,1
5937,87,1
5939,87,1
6012,87,2
6021,87,2
6043,87,2
6058,87,1
6061,87,1
6068,87,1
6232,87,1
6446,87,1
6495,87,1
6541,87,1
6544,87,1
6588,87,1
6589,87,1
6597,87,1
6633,87,1
6677,87,1
6875,87,1
6945,87,1
7014,87,2
7054,87,1
7068,87,1
7072,87,1
7111,87,2
7154,87,1
7172,87,1
7175,87,2
7199,87,1
7235,87,1
7242,87,1
7273,87,2
7305,87,1
7358,87,1
7405,87,1
7418,87,1
7434,87,1
7634,87,1
7636,87,1
7639,87,1
7645,87,1
7659,87,1
7661,87,1
7783,87,1
7822,87,2
7842,87,1
7852,87,1
7867,87,1
7953,87,2
8015,87,1
8112,87,1
8152,87,1
8732,87,1
8837,87,1
8918,87,1
9099,87,1
9288,87,1
9407,87,2
9461,87,1
9472,87,1
9473,87,2
9644,87,1
9826,87,1
9923,87,1
9978,87,3
10090,87,1
10182,87,1
10204,87,1
10216,87,1
10270,87,1
10394,87,1
10601,87,1
10932,87,1
11152,87,1
11247,87,1
11266,87,1
11300,87,1
11404,87,1
11474,87,1
11755,87,1
11823,87,1
11957,87,1
12070,87,1
12184,87,1
12273,87,1
12764,87,1
12834,87,1
12869,87,1
12877,87,1
12975,87,1
13043,87,1
13076,87,1
13098,87,1
13101,87,1
13249,87,1
13572,87,1
13862,87,1
13882,87,2
13977,87,1
14108,87,1
14281,87,1
14372,87,2
14506,87,1
14740,87,1
14787,87,1
14875,87,1
14915,87,1
15119,87,1
15510,87,1
15566,87,1
15842,87,1
16144,87,1
16533,87,1
16563,87,1
16798,87,1
16900,87,1
16975,87,1
17349,87,1
17523,87,1
17698,87,1
18065,87,1
18150,87,1
18448,87,1
18739,87,1
18806,87,1
19093,87,1
19100,87,2
19308,87,1
19324,87,1
19447,87,1
20259,87,1
20381,87,1
20412,87,1
20587,87,1
20957,87,1
20960,87,1
21623,87,1
21781,87,1
21782,87,1
21993,87,1
22086,87,1
22295,87,1
22407,87,1
22569,87,1
22570,87,2
22672,87,1
22878,87,2
23024,87,1
23026,87,1
23418,87,1
23442,87,1
23856,87,1
24108,87,1
3,33,1
4,33,22
6,33,1
9,33,3
12,33,1
13,33,3
37,33,1
73,33,5
371,33,2
372,33,3
375,33,2
385,33,9
386,33,1
470,33,1
471,33,4
490,33,2
497,33,48
507,33,1
508,33,1
1090,33,1
1190,33,2
1279,33,2
1322,33,1
2162,33,5
2243,33,1
2359,33,1
2740,33,1
3107,33,3
3172,33,1
3264,33,1
3306,33,1
3398,33,1
3418,33,1
3462,33,2
3463,33,1
3542,33,1
3549,33,1
3551,33,1
3566,33,2
3589,33,2
3595,33,1
3661,33,1
3714,33,1
3773,33,1
3822,33,1
3824,33,2
3825,33,2
3882,33,1
3884,33,1
4010,33,1
4104,33,1
4176,33,1
4179,33,1
4185,33,1
4208,33,1
4228,33,1
4245,33,1
4318,33,1
4320,33,1
4369,33,1
4377,33,1
4626,33,1
4678,33,1
4749,33,2
4822,33,1
4917,33,1
4948,33,9
4975,33,1
4996,33,1
5267,33,1
5269,33,1
5289,33,1
5295,33,1
5348,33,1
5365,33,1
5374,33,1
5392,33,2
5436,33,1
5441,33,1
5457,33,2
5560,33,1
5567,33,1
5592,33,12
5599,33,1
5623,33,1
5640,33,1
5676,33,3
5761,33,1
5774,33,1
