template_id,count
0,118
1,542
2,11
3,0
4,103
5,178
6,9
7,6
8,85
9,128
10,164
11,47
12,45
13,44
14,30
15,0
16,52
17,53
18,0
19,44
20,46
21,107
22,37
23,37
24,34
25,49
26,62
27,95
28,226
29,212
30,0
31,24
32,19
33,432
34,289
35,93
36,70
37,79
38,32
39,87
40,0
41,42
42,222
43,186
44,0
45,115
46,79
47,128
48,137
49,8
50,152
51,0
52,85
53,89
54,858
55,44
56,6
57,69
58,105
59,0
60,84
61,156
62,4
63,57
64,137
65,0
66,55
67,45
68,171
69,53
70,389
71,371
72,492
73,330
74,233
75,224
76,487
77,15
78,18
79,224
80,6
81,227
82,9
83,10
84,12
85,112
86,57
87,210
88,111
89,71
90,4
91,128
92,45
93,54
94,39
95,59
96,0
97,327
98,267
99,214
100,773
101,551
102,348
103,277
104,5
