name,tag_name
0,Generic layout
0,layout
0,name
0,light
0,App layouts
0,panel
1,panel
1,light
1,collapse
1,App layouts
1,layout
1,Generic layout
1,sidebar
2,Recommended E-commerce Marketplace - Web
2,Recommended E-commerce Marketplace - Mobile
2,Product info
2,review
2,rating
2,detail
2,information
2,Product info
2,marketplace
2,Landing page
2,webpages
2,landing page
2,web pages
2,website
2,review
2,rating
2,detail
2,information
2,Product info
2,Product info
4,Landing page
4,marketplace
4,Recommended Website - Web
4,Recommended E-commerce Marketplace - Web
4,Recommended Blank - Web
4,landing page
4,Product listing
4,item
4,product
4,shopping
4,listing
4,Product listing
4,website
5,Recommended E-commerce Marketplace - Mobile
5,Recommended Blank - Mobile
5,Product info
5,review
5,rating
5,detail
5,Product info
5,marketplace
5,Recommended E-commerce Marketplace - Web
5,Recommended Blank - Web
5,information
5,Product info
5,Landing page
5,Product info
5,detail
5,rating
5,information
5,website
5,webpages
5,web pages
5,landing page
5,review
7,website
7,applicant
7,listing
7,product
7,item
7,profile
7,webpages
7,Recommended Blank - Web
7,landing page
7,Landing page
7,Product listing
7,Recommended Website - Web
7,marketplace
7,candidate
7,web pages
7,Product listing
7,Product listing
7,company
7,website
7,Common templates
7,candidate
7,applicant
7,job
7,listing
7,company
7,Product listing
7,Common templates
7,candidate
7,applicant
7,job
7,listing
7,website
8,interview
8,profile
8,Product info
8,candidate
8,profile information
8,profile
8,Product info
8,Landing page
8,Recommended Blank - Web
8,freelancer
8,marketplace
8,detail
8,freelancing
8,applicant
8,candidate
8,Product info
8,Common templates
8,website
8,profile
8,interview
8,freelancer
8,freelancing
8,applicant
8,candidate
8,Product info
8,Common templates
8,applicant
9,Settings
9,billing
9,payment
9,Settings
9,user settings
9,profile settings
9,account settings
10,payment
10,Recommended E-commerce Marketplace - Mobile
10,Orders & checkout
10,successful payment
10,shopping
10,cart
10,Checkout
10,Checkout
10,Orders & checkout
10,successful payment
10,order review
10,shopping
10,cart
10,payment
10,Recommended E-commerce Marketplace - Web
15,profile settings
15,Settings
15,account settings
15,privacy settings
15,user settings
15,Settings
15,change password
15,change password
15,account settings
15,privacy settings
15,user settings
15,profile settings
15,Settings
15,Settings
17,Landing page
17,Pricing
17,billing
17,feature comparison
17,payment
17,subscription
17,upgrade plan
17,pricing plan
17,Pricing
17,plan comparison
17,Pricing
17,billing
17,feature comparison
17,payment
17,subscription
17,upgrade plan
17,pricing plan
17,plan comparison
17,Pricing
19,planning
19,calendar
19,schedule
19,Task management
19,Recommended Blank - Mobile
19,Recommended Project Management - Mobile
20,social media
20,Recommended Social Media - Mobile
20,profile
20,Product info
20,profile information
20,social
20,Product info
21,Recommended Project Management - Web
21,Task management
21,list
21,interview
21,sidebar menu
21,job
21,applicant
21,candidate
21,Kanban
21,dark sidebar
22,homepage
22,Product listing
22,Recommended Social Media - Mobile
22,social media
22,home page
22,social
22,listing
22,Product listing
22,newsfeed
23,Recommended Social Media - Mobile
23,Communication
23,call
23,video
23,meeting
23,contact
23,conversation
23,connect
23,convo
24,plan comparison
24,Pricing
24,feature comparison
24,payment
24,subscription
24,upgrade plan
24,pricing plan
24,Pricing
24,billing
24,Pricing
24,billing
24,payment
24,subscription
24,upgrade plan
24,pricing plan
24,plan comparison
24,Pricing
24,Landing page
26,Kanban
26,candidate
26,job
26,Recommended Blank - Mobile
26,list
26,Task management
26,Recommended Project Management - Web
26,Recommended Project Management - Mobile
26,interview
26,Recommended Blank - Web
26,applicant
26,ticket
26,assignment
26,listing
26,card
26,board
26,task
26,checklist
26,productivity
26,Kanban
26,Task management
27,Recommended Blank - Mobile
27,Communication
27,phone book
27,contact
27,communication
27,chat
27,conversation
28,Product listing
28,listing
28,shopping
28,product
28,item
28,Product listing
28,Recommended Blank - Mobile
28,Recommended E-commerce Marketplace - Mobile
29,Other templates
29,comment
29,rating
29,review
29,feedback
30,Settings
30,profile settings
30,user settings
30,account settings
30,Settings
31,Settings
31,account settings
31,user settings
31,Settings
31,Settings
31,account settings
31,user settings
31,profile settings
31,profile settings
31,user settings
31,profile settings
31,Settings
31,Common templates
31,user settings
31,profile settings
31,Settings
31,Common templates
31,Settings
33,Recommended E-commerce Marketplace - Mobile
33,shopping
33,Orders & checkout
33,payment
33,Checkout
33,cart
34,communication
34,Recommended Social Media - Mobile
34,Recommended Blank - Mobile
34,Communication
34,texting
34,direct message
34,support
34,contact
34,conversation
34,message
34,connect
34,chat
34,message
34,Recommended Social Media - Web
34,Recommended Blank - Web
34,Communication
34,support
34,contact
34,conversation
34,Inbox - chat
34,connect
34,communication
34,chat
34,Inbox - chat
36,communication
36,connect
36,message
36,conversation
36,contact
36,Recommended Social Media - Web
36,direct message
36,Communication
36,Recommended Blank - Web
36,chat
36,support
36,Inbox - chat
36,direct message
36,Communication
36,texting
36,support
36,contact
36,conversation
36,message
36,connect
36,communication
36,chat
36,Inbox - chat
36,Recommended Social Media - Mobile
38,streaming
38,Recommended Social Media - Web
38,Recommended Blank - Web
38,Product info
38,media
38,watch
38,video
38,social
38,Product info
38,Product listing
38,social media
39,Recommended Social Media - Mobile
39,Product info
39,detail
39,social
39,social media
39,Product info
40,Product listing
40,social media
40,profile
40,Recommended Social Media - Mobile
40,listing
40,Product listing
40,social
41,Recommended Social Media - Web
41,streaming
41,Product info
41,media
41,Product listing
41,watch
41,video
41,Product info
41,social media
42,profile
42,Product listing
42,candidate
42,applicant
42,job
42,listing
42,company
42,Product listing
44,App layouts
44,panel
44,dark
44,layout
44,sidebar
44,collapse
44,Generic layout
45,Settings
45,notification
45,account settings
45,user settings
45,profile settings
45,Settings
45,Settings
45,notification
45,user settings
45,profile settings
45,Settings
46,panel
46,App layouts
46,dark
46,layout
46,Generic layout
46,sidebar
47,filter
47,condition
47,Other templates
48,web pages
48,Recommended Website - Web
48,marketplace
48,Recommended Blank - Web
48,Product listing
48,Landing page
48,landing page
48,webpages
48,Recommended E-commerce Marketplace - Web
48,website
48,listing
48,Product listing
48,Product listing
48,home page
48,homepage
48,Product listing
48,homepage
50,Recommended Website - Web
50,Landing page
50,landing page
50,web pages
50,homepage
50,home page
50,website
50,webpages
51,Recommended Blank - Mobile
51,Product info
51,profile
51,freelancing
51,freelancer
51,applicant
51,candidate
51,Product info
51,profile information
52,Communication
52,directory
52,phone book
52,Recommended Blank - Mobile
52,conversation
52,communication
52,chat
52,contact
