user_id,role,country
4111,G,24
4112,C,65
4113,G,24
4114,H,17
4115,F,65
4116,C,65
4117,G,17
4118,F,65
4119,H,65
4120,I,65
4121,C,65
4122,M,81
4123,M,24
4124,G,65
4125,M,65
4126,L,65
4127,L,65
4128,H,65
4129,G,65
4130,L,65
4131,G,65
4132,G,65
4133,G,65
4134,H,17
4135,L,93
4136,M,120
4137,H,17
4138,H,86
4139,N,55
4140,I,93
4141,I,120
4142,F,89
4143,I,120
4144,I,65
4145,G,65
4146,C,65
4147,M,65
4148,H,63
4149,C,65
4150,M,65
4151,C,65
4152,M,36
4153,F,65
4154,G,65
4155,G,65
4156,G,65
4157,H,65
4158,F,63
4159,M,65
4160,G,65
4161,G,65
4162,N,65
4163,G,65
4164,G,65
4165,L,65
4166,L,120
4167,H,65
4168,I,65
4169,F,24
4170,C,65
4171,N,65
4172,F,65
4173,G,17
4174,I,93
4175,G,65
4176,M,17
4177,G,65
4178,L,65
4179,L,65
4180,I,93
4181,C,65
4182,L,120
4183,M,65
4184,G,65
4185,L,64
4186,M,120
4187,G,120
4188,M,24
4189,L,24
4190,M,24
4191,G,65
4192,C,65
4193,M,65
4194,N,65
4195,H,65
4196,F,65
4197,F,65
4198,G,65
4199,C,65
4200,M,65
4201,L,63
4202,C,65
4203,C,24
4204,G,62
4205,C,16
4206,M,65
4207,C,65
4208,N,17
4209,H,17
4210,M,65
4211,G,17
4212,I,65
4213,L,86
4214,G,65
4215,L,65
4216,N,65
4217,I,35
4218,G,65
4219,G,65
4220,H,65
4221,G,65
4222,H,93
4223,I,65
4224,I,65
4225,M,65
4226,N,63
4227,M,65
4228,I,35
4229,G,93
4230,L,36
4231,F,17
4232,G,120
4233,G,120
4234,L,65
4235,I,65
4236,H,65
4237,C,65
4238,L,65
4239,C,65
4240,M,65
4241,F,36
4242,M,65
4243,F,65
4244,N,65
4245,G,81
4246,F,63
4247,H,65
4248,G,65
4249,G,65
4250,M,65
4251,G,65
4252,M,65
4253,N,81
4254,F,65
4255,G,66
4256,I,65
4257,M,65
4258,M,65
4259,F,120
4260,G,65
4261,L,65
4262,I,65
4263,C,65
4264,F,65
4265,G,36
4266,F,63
4267,C,17
4268,N,63
4269,G,63
4270,L,63
4271,I,65
4272,C,65
4273,I,65
4274,G,65
4275,G,65
4276,G,65
4277,H,65
4278,F,65
4279,C,65
4280,H,86
4281,G,112
4282,G,65
4283,G,65
4284,G,16
4285,L,86
4286,H,65
4287,G,17
4288,M,65
4289,L,65
4290,G,65
4291,G,65
4292,N,36
4293,M,65
4294,L,17
4295,L,86
4296,H,79
4297,G,17
4298,L,120
4299,M,17
4300,G,65
4301,C,120
4302,M,65
4303,G,65
4304,F,65
4305,F,65
4306,N,65
4307,L,65
4308,F,65
4309,G,65
4310,I,65
4311,L,65
4312,C,65
4313,I,65
4314,C,65
4315,F,65
4316,I,65
4317,G,65
4318,G,24
4319,I,65
4320,F,65
4321,G,79
4322,L,86
4323,G,86
4324,I,17
4325,I,36
4326,H,65
4327,C,16
4328,I,79
4329,G,120
